Condition,PTE,Subject,Pair
Math,1.34484008672558,1,1
Math,1.08661952810036,2,1
Math,1.11365751454477,2,2
Math,1.06509873980252,2,3
Math,1.08457921047132,2,4
Math,1.10441936051934,2,5
Math,1.05119660138275,2,6
Math,1.03045689130346,2,7
Math,1.0355060986403,2,8
Math,0.998914850385007,2,9
Math,0.863696288944263,3,1
Math,0.916973767950578,3,2
Math,0.984990326569072,3,3
Math,0.975718709527974,3,4
Math,1.03603127332764,3,5
Math,1.11310161950534,3,6
Math,1.02779820533121,3,7
Math,1.06948866472619,3,8
Math,1.15110580737576,3,9
Math,0.91376783736448,3,10
Math,0.962409002566583,3,11
Math,1.05278121065922,3,12
Math,0.893096213096148,3,13
Math,0.943970201322615,3,14
Math,1.01005554931068,3,15
Math,0.788106938132215,4,1
Math,0.59915434549197,4,2
Math,0.874758763958351,4,3
Math,0.767425835398518,4,4
Math,0.597389376140926,4,5
Math,0.865382028657148,4,6
Math,0.844726424430588,4,7
Math,0.673471389051077,4,8
Math,0.901543262386126,4,9
Math,0.78055076967627,4,10
Math,0.601839097077174,4,11
Math,0.87947446843593,4,12
Math,0.754717365534634,4,13
Math,0.630232138756529,4,14
Math,0.822605702420386,4,15
Math,0.765005516029403,4,16
Math,0.646135113979703,4,17
Math,0.874863194328664,4,18
Math,0.77422410125918,4,19
Math,0.597896481018987,4,20
Math,0.884265971514794,4,21
Math,1.24597215653182,5,1
Math,1.23544393205426,5,2
Math,1.22870485167233,5,3
Recall,1.48182369407637,1,1
Recall,1.14101989598997,2,1
Recall,1.11825833145265,2,2
Recall,1.10313919733613,2,3
Recall,1.07997309376564,2,4
Recall,1.09052780942331,2,5
Recall,1.05926455042505,2,6
Recall,1.09140942880452,2,7
Recall,1.06780964679455,2,8
Recall,1.03913290336735,2,9
Recall,0.885010390887251,3,1
Recall,0.930253139665963,3,2
Recall,1.02332264644249,3,3
Recall,0.988171562048655,3,4
Recall,1.07181925457214,3,5
Recall,1.16433490825199,3,6
Recall,1.08315787551502,3,7
Recall,1.14175412554376,3,8
Recall,1.21205849032673,3,9
Recall,0.961270682784922,3,10
Recall,1.01945954916854,3,11
Recall,1.11680736363125,3,12
Recall,0.931219041190972,3,13
Recall,0.993130098718233,3,14
Recall,1.07017153326987,3,15
Recall,0.681581200939186,4,1
Recall,0.516475506273101,4,2
Recall,0.880325494257316,4,3
Recall,0.675024493718399,4,4
Recall,0.554319651293417,4,5
Recall,0.89658982428338,4,6
Recall,0.726393234838987,4,7
Recall,0.551574301637606,4,8
Recall,0.922350244117511,4,9
Recall,0.657483430508323,4,10
Recall,0.532068143764654,4,11
Recall,0.896235858586903,4,12
Recall,0.695205506187315,4,13
Recall,0.620429596026351,4,14
Recall,0.900117548175816,4,15
Recall,0.707884592048997,4,16
Recall,0.615385219846292,4,17
Recall,0.899868203002894,4,18
Recall,0.707109347289457,4,19
Recall,0.505083938638884,4,20
Recall,0.893283570557886,4,21
Recall,1.19465145717806,5,1
Recall,1.20538310226171,5,2
Recall,1.20837158234967,5,3
