Condition,PTE,Subject,Pair
Rest,1.37930640406029,1,1
Rest,1.4222500214136,1,2
Rest,1.37816785077215,1,3
Rest,1.21430152949376,1,4
Rest,1.31360043499505,1,5
Rest,1.38768954864134,1,6
Rest,1.41530006270011,1,7
Rest,1.20413919515865,1,8
Rest,1.39734259420094,1,9
Rest,1.35329728728965,1,10
Rest,1.31574898859282,1,11
Rest,1.32167783803829,1,12
Rest,1.35449735320812,1,13
Rest,1.44152774713953,1,14
Rest,1.46056147305898,1,15
Rest,1.28428956481366,1,16
Rest,1.09952477791889,2,1
Rest,1.09900754142016,2,2
Rest,1.0507290591089,2,3
Rest,1.21253388459376,3,1
Rest,1.29932119878845,3,2
Rest,1.25020248116241,3,3
Rest,1.23742039485042,3,4
Rest,1.18293797769356,3,5
Rest,1.09988693294481,3,6
Rest,1.22348365229418,3,7
Rest,1.21465466521918,3,8
Rest,1.21527785434943,3,9
Rest,1.2498357687955,3,10
Rest,1.25569014736936,3,11
Rest,1.09911712622794,4,1
Rest,1.08935022212246,4,2
Rest,1.12489626489155,4,3
Rest,1.09922153304228,4,4
Rest,1.06063768439434,4,5
Rest,1.09664430767523,4,6
Rest,0.900195724426026,5,1
Rest,0.699349023503868,5,2
Rest,0.828916880870227,5,3
Rest,0.828524961591824,5,4
Rest,0.672010625738105,5,5
Rest,0.839812695302649,5,6
Rest,0.663543223634735,5,7
Rest,0.584133243478333,5,8
Rest,0.707561171998592,5,9
Rest,0.875902953818847,5,10
Rest,0.685533609544208,5,11
Rest,0.791529475056979,5,12
Rest,0.839128982250809,5,13
Rest,0.647213695049396,5,14
Rest,0.821694521196445,5,15
Rest,0.661018428497574,5,16
Rest,0.568012008976591,5,17
Rest,0.68015421714274,5,18
Rest,1.01539281159935,5,19
Rest,0.910958345635365,5,20
Rest,1.03452207890527,5,21
Rest,0.94513024224149,5,22
Rest,0.813401337476288,5,23
Rest,0.966746893296763,5,24
Rest,0.904317550360053,5,25
Rest,0.84924730562437,5,26
Rest,0.626115727393403,5,27
Rest,0.939498309217314,5,28
Rest,0.759618427580917,5,29
Rest,0.881646829806948,5,30
Rest,0.854001074933207,5,31
Rest,0.701263936993441,5,32
Rest,0.867619621582205,5,33
Rest,0.725504615530066,5,34
Rest,0.653409455861876,5,35
Rest,0.714420547943333,5,36
