Condition,PTE,Subject,Pair
Math,1.02723025638618,1,1
Math,1.23773201277621,1,2
Math,1.04345259986029,1,3
Math,1.25545088541471,1,4
Math,0.965084317301162,2,1
Math,0.989359730033583,2,2
Math,0.996395835286958,2,3
Math,1.15720231538738,2,4
Math,1.13430838081095,2,5
Math,1.14184606635771,2,6
Math,1.1603445522587,2,7
Math,1.13602423471202,2,8
Math,1.14576356441255,2,9
Math,1.14206425896467,2,10
Math,1.13720667737771,2,11
Math,1.14789845759519,2,12
Math,0.856271554422402,3,1
Math,0.760351097109175,3,2
Math,0.98151665935891,3,3
Math,0.84814595558291,3,4
Math,0.927019879380508,3,5
Math,1.01570329614884,3,6
Math,0.922001407643261,3,7
Math,0.809437399207439,3,8
Math,0.806727026954006,3,9
Math,0.890487307636318,3,10
Math,0.803682688046363,3,11
Math,1.02487177692325,3,12
Math,0.895022128583714,3,13
Math,0.972460346036767,3,14
Math,1.05803285520388,3,15
Math,0.973241798126046,3,16
Math,0.853704674468158,3,17
Math,0.837923704643732,3,18
Math,0.972819579699076,3,19
Math,0.859735117558409,3,20
Math,1.10442952486104,3,21
Math,0.969816938854636,3,22
Math,1.05002612283564,3,23
Math,1.15057613616997,3,24
Math,1.031240877034,3,25
Math,0.915339376356544,3,26
Math,0.909679865453325,3,27
Math,0.732008249622809,4,1
Math,0.620923197854486,4,2
Math,0.85016464065044,4,3
Math,1.02275591517354,5,1
Math,0.973217753197293,5,2
Math,1.08223479151185,5,3
Math,1.23133216064321,6,1
Math,1.18513849873749,6,2
Math,1.2688234047682,6,3
Math,1.2978423430515,6,4
Math,1.24719517400944,6,5
Math,1.23914237304733,6,6
Math,1.20599507437512,6,7
Math,1.28633964103167,6,8
Math,1.3024034524459,6,9
Math,1.2544161847245,6,10
Math,1.23700558019155,6,11
Math,1.19273747773149,6,12
Math,1.2917128216306,6,13
Math,1.32104291841192,6,14
Math,1.25869882980023,6,15
Rest,0.984256857155085,1,1
Rest,1.14601446898477,1,2
Rest,0.992797017526657,1,3
Rest,1.17549676729631,1,4
Rest,1.09405381004772,2,1
Rest,1.0742688292704,2,2
Rest,1.0898217097102,2,3
Rest,1.11324724808346,2,4
Rest,1.1112508571161,2,5
Rest,1.12261895085984,2,6
Rest,1.11368465082839,2,7
Rest,1.09573778918379,2,8
Rest,1.12111092835758,2,9
Rest,1.12150379180259,2,10
Rest,1.11091442491116,2,11
Rest,1.12928119294094,2,12
Rest,0.835552244492441,3,1
Rest,0.738187857429489,3,2
Rest,0.896174867979206,3,3
Rest,0.823052283008089,3,4
Rest,0.816171769676712,3,5
Rest,0.937402609338889,3,6
Rest,0.868244091283357,3,7
Rest,0.783321466813957,3,8
Rest,0.772239205748038,3,9
Rest,0.841092515557545,3,10
Rest,0.74643437045286,3,11
Rest,0.910382005147632,3,12
Rest,0.832860695296185,3,13
Rest,0.830034024722144,3,14
Rest,0.960334155977021,3,15
Rest,0.881436449975119,3,16
Rest,0.806278581313069,3,17
Rest,0.802212919112374,3,18
Rest,0.916084086575732,3,19
Rest,0.822988249861084,3,20
Rest,0.990517483632688,3,21
Rest,0.915902761832247,3,22
Rest,0.912619077152395,3,23
Rest,1.04000599496876,3,24
Rest,0.957455393887985,3,25
Rest,0.886437869703713,3,26
Rest,0.869779406623471,3,27
Rest,0.789310088881665,4,1
Rest,0.902148282474226,4,2
Rest,0.83063681235656,4,3
Rest,0.999879106116147,5,1
Rest,0.947752755588099,5,2
Rest,1.05456743141681,5,3
Rest,1.15979895003198,6,1
Rest,1.14860129757862,6,2
Rest,1.22065546264196,6,3
Rest,1.22337673880409,6,4
Rest,1.20894715284059,6,5
Rest,1.1544017055529,6,6
Rest,1.16146439915403,6,7
Rest,1.21554982205872,6,8
Rest,1.21984608309625,6,9
Rest,1.20845362575886,6,10
Rest,1.14593329393408,6,11
Rest,1.13931382959284,6,12
Rest,1.21290469912845,6,13
Rest,1.22484372547311,6,14
Rest,1.22321291679761,6,15
