Condition,PTE,Subject,Pair
Rest,1.11928471442512,1,1
Rest,1.14745671316334,1,2
Rest,1.16434987051194,1,3
Rest,1.19535242455547,1,4
Rest,1.03822918488836,2,1
Rest,1.05751995406688,2,2
Rest,1.15793554155644,2,3
Rest,0.955592984403314,2,4
Rest,0.972814971863368,2,5
Rest,1.0669424938452,2,6
Rest,0.891395493268309,2,7
Rest,0.919477877139911,2,8
Rest,0.987183389027237,2,9
Rest,1.0056548127723,2,10
Rest,1.02599620403473,2,11
Rest,1.11158507018696,2,12
Rest,0.837046988080177,2,13
Rest,0.83510674035525,2,14
Rest,0.916685329437312,2,15
Rest,0.865011484716623,2,16
Rest,0.881740552081485,2,17
Rest,0.973469888505966,2,18
Rest,1.04207780458777,3,1
Rest,0.798224336347109,4,1
Rest,0.89283496845604,4,2
Rest,0.872420632394011,4,3
Rest,0.776567297437414,4,4
Rest,0.895468859927593,4,5
Rest,0.841151076789852,4,6
Rest,0.818330735276315,4,7
Rest,0.909080488375857,4,8
Rest,0.858858657217757,4,9
Rest,0.78855423920867,4,10
Rest,0.907342807665831,4,11
Rest,0.832275529841701,4,12
Rest,0.754870562525079,4,13
Rest,0.869899899388112,4,14
Rest,0.815626581426382,4,15
Rest,0.795811159442448,4,16
Rest,0.857589317873723,4,17
Rest,0.843556584007513,4,18
Rest,0.937136124761112,5,1
Rest,0.952091516336453,5,2
Rest,1.01066695847243,5,3
Rest,0.934574504980223,5,4
Rest,0.92653578531156,5,5
Rest,0.992717194352004,5,6
Rest,0.939815360708129,5,7
Rest,0.949314148153327,5,8
Rest,1.00851809228874,5,9
Rest,0.924275723509737,5,10
Rest,0.90807332200601,5,11
Rest,0.974651361439171,5,12
Rest,0.924966198999885,5,13
Rest,0.937602909365994,5,14
Rest,1.00358338771743,5,15
Rest,0.919381387896369,5,16
Rest,0.917511350222176,5,17
Rest,0.96955588244604,5,18
Rest,0.980558949293355,5,19
Rest,0.982348967076863,5,20
Rest,1.0370347259121,5,21
Rest,0.968611657787674,5,22
Rest,0.956047614403332,5,23
Rest,1.0158537163057,5,24
Rest,0.973934591607051,5,25
Rest,0.991362849782075,5,26
Rest,1.04692461464232,5,27
Rest,0.960777672085503,5,28
Rest,0.954863612112928,5,29
Rest,1.01288521777212,5,30
Rest,1.04862586289838,5,31
Rest,1.04974629911778,5,32
Rest,1.10201854996795,5,33
Rest,1.03212531841622,5,34
Rest,1.01133469156334,5,35
Rest,1.06795559965951,5,36
Rest,0.944429712268895,5,37
Rest,0.951579862698787,5,38
Rest,1.01224177612531,5,39
Rest,0.933462066077747,5,40
Rest,0.92175400064255,5,41
Rest,0.985948314701327,5,42
Rest,1.24536572711457,6,1
Rest,1.24187910465887,6,2
Rest,1.23697966234067,6,3
Rest,1.2171059537742,6,4
Rest,1.21742488251041,6,5
Rest,1.24713077070747,6,6
Recall,1.21675157560805,1,1
Recall,1.22307953088971,1,2
Recall,1.22455395182761,1,3
Recall,1.22123898978627,1,4
Recall,1.11082680786546,2,1
Recall,1.16845228651513,2,2
Recall,1.26744411478264,2,3
Recall,1.05262717042489,2,4
Recall,1.10853190247195,2,5
Recall,1.18163091725892,2,6
Recall,0.99059829077328,2,7
Recall,1.03066282144324,2,8
Recall,1.10778260873151,2,9
Recall,1.09157928934416,2,10
Recall,1.14845541595234,2,11
Recall,1.2187444527296,2,12
Recall,0.945159414905208,2,13
Recall,0.996828684701796,2,14
Recall,1.0799543433647,2,15
Recall,0.897301198222827,2,16
Recall,0.933501534926991,2,17
Recall,1.04067182326648,2,18
Recall,1.04019760346823,3,1
Recall,0.709358740015386,4,1
Recall,0.55045046338778,4,2
Recall,0.908039639725862,4,3
Recall,0.675543093371554,4,4
Recall,0.627859338911496,4,5
Recall,0.875401575079107,4,6
Recall,0.700287032725679,4,7
Recall,0.575321023590506,4,8
Recall,0.97958478911524,4,9
Recall,0.704757104625913,4,10
Recall,0.602776141716371,4,11
Recall,0.978030620282422,4,12
Recall,0.674514990988577,4,13
Recall,0.556810401560114,4,14
Recall,0.839594086317119,4,15
Recall,0.710552302273534,4,16
Recall,0.542481598578662,4,17
Recall,0.945515268591807,4,18
Recall,1.03788307911072,5,1
Recall,1.04491387498602,5,2
Recall,1.07644125779213,5,3
Recall,1.06405079913479,5,4
Recall,1.01288946883746,5,5
Recall,1.07694324335652,5,6
Recall,1.07056673989684,5,7
Recall,1.06278581699501,5,8
Recall,1.08981827878329,5,9
Recall,1.09477765394078,5,10
Recall,1.02406938387014,5,11
Recall,1.07717858976043,5,12
Recall,1.00884059796899,5,13
Recall,0.998321272451747,5,14
Recall,1.04005001903432,5,15
Recall,1.04079958828184,5,16
Recall,0.954919601368236,5,17
Recall,1.04550444460361,5,18
Recall,1.07455209435363,5,19
Recall,1.06004337831593,5,20
Recall,1.08725235271421,5,21
Recall,1.07321210535494,5,22
Recall,0.992152937473261,5,23
Recall,1.08790475159133,5,24
Recall,1.08959358634524,5,25
Recall,1.08395103128361,5,26
Recall,1.10741327952431,5,27
Recall,1.10127149041797,5,28
Recall,1.02007369246788,5,29
Recall,1.10242893565953,5,30
Recall,1.13267471218997,5,31
Recall,1.12487347124179,5,32
Recall,1.15124640769622,5,33
Recall,1.15000056960202,5,34
Recall,1.06931923994832,5,35
Recall,1.14409142158315,5,36
Recall,1.0523804932324,5,37
Recall,1.05831420746801,5,38
Recall,1.10075843572564,5,39
Recall,1.08359962071915,5,40
Recall,1.01672933284978,5,41
Recall,1.08452059491518,5,42
Recall,1.2185504121406,6,1
Recall,1.2395311677889,6,2
Recall,1.2454091210938,6,3
Recall,1.18956126222721,6,4
Recall,1.1916126683598,6,5
Recall,1.21842334424165,6,6
