Condition,PTE,Subject,Pair
Rest,1.00517758119485,1,1
Rest,1.16537609780281,1,2
Rest,1.15980549150593,1,3
Rest,1.16870179382318,1,4
Rest,1.05146520507079,1,5
Rest,1.22807898937065,1,6
Rest,1.22024193470585,1,7
Rest,1.21092229035195,1,8
Rest,1.09847456022865,2,1
Rest,1.2716000781402,2,2
Rest,1.20866002910614,2,3
Rest,1.18130241472143,2,4
Rest,0.938626852165737,2,5
Rest,1.1067527698292,2,6
Rest,1.11273436884755,2,7
Rest,1.15445304429669,3,1
Rest,1.17086484733948,3,2
Rest,1.19513711457662,3,3
Rest,1.21538369626919,3,4
Rest,1.01480338680509,3,5
Rest,1.00057361598682,3,6
Rest,1.24239533018607,4,1
Rest,1.21878120916267,4,2
Rest,1.25922619089043,4,3
Rest,1.24967508456307,4,4
Rest,1.23610383886782,4,5
Rest,1.27605129038483,4,6
Rest,1.07037328543934,4,7
Rest,1.08969552826043,4,8
Rest,1.03964141351502,4,9
Rest,1.10670898442437,4,10
Rest,1.21150431087249,4,11
Rest,1.19282144774915,4,12
Rest,1.18272541668857,4,13
Rest,1.08184283583741,4,14
Rest,1.22299557204249,4,15
Rest,1.21001919869659,4,16
Rest,1.13677453120763,5,1
Rest,1.05880879052723,5,2
Rest,1.06259201679692,5,3
Rest,1.16478866414845,5,4
Rest,1.05605505555933,5,5
Rest,1.10399619541702,5,6
Rest,1.07028210103799,5,7
Rest,0.927863329814244,6,1
Rest,0.724745524694039,6,2
Rest,0.847406583899669,6,3
Rest,0.858165826624464,6,4
Rest,0.689764856927544,6,5
Rest,0.848377607129329,6,6
Rest,0.709874442741815,6,7
Rest,0.614702258646287,6,8
Rest,0.715488981453884,6,9
Rest,0.898313689800164,6,10
Rest,0.731798261507397,6,11
Rest,0.847167805761759,6,12
Rest,0.8451601304858,6,13
Rest,0.688059175278025,6,14
Rest,0.846784670534349,6,15
Rest,0.681769106650513,6,16
Rest,0.600043707426736,6,17
Rest,0.684311590424441,6,18
Rest,0.955433408740812,6,19
Rest,0.736343077455201,6,20
Rest,0.844412783932983,6,21
Rest,0.863877046809396,6,22
Rest,0.706379902660579,6,23
Rest,0.831541515051861,6,24
Rest,0.693855641150057,6,25
Rest,0.620701354141765,6,26
Rest,0.760054735116984,6,27
Rest,0.918038820697198,6,28
Rest,0.732067870405444,6,29
Rest,0.847881312216126,6,30
Rest,0.844923507869845,6,31
Rest,0.673069876378817,6,32
Rest,0.849818325266637,6,33
Rest,0.717261762394686,6,34
Rest,0.64006239043485,6,35
Rest,0.693090340875484,6,36
Rest,0.881662683389351,6,37
Rest,0.699972558591052,6,38
Rest,0.817906038943858,6,39
Rest,0.819901061530946,6,40
Rest,0.645189981553043,6,41
Rest,0.811868369276227,6,42
Rest,0.657327121105219,6,43
Rest,0.582589973993071,6,44
Rest,0.6638504316793,6,45
Rest,0.904575152852657,6,46
Rest,0.749858406684361,6,47
Rest,0.834266843243892,6,48
Rest,0.829242315803072,6,49
Rest,0.706964191414148,6,50
Rest,0.83528240664593,6,51
Rest,0.728098796333194,6,52
Rest,0.639286959388474,6,53
Rest,0.737101114459218,6,54
Rest,1.00026286419537,7,1
Rest,0.894471184288042,7,2
Rest,0.88538331369735,7,3
Rest,0.931957460900303,7,4
Rest,0.975676403668399,7,5
Rest,0.951724083634163,7,6
Rest,0.879946238419464,7,7
Rest,0.917341340378922,7,8
Rest,0.965325971882064,7,9
Rest,0.979098554774379,7,10
Rest,0.897483459671249,7,11
Rest,0.958930320713781,7,12
Rest,0.902826265850171,7,13
Rest,0.927612889674145,7,14
Rest,0.938368661344251,7,15
Rest,1.03347170404521,7,16
Rest,1.07609109304236,7,17
Rest,0.932711941062351,7,18
Rest,1.00618654364325,7,19
Rest,0.837475456737947,7,20
Rest,0.983648903913385,7,21
Rest,0.883859369029764,7,22
Rest,0.871143067575012,7,23
Rest,0.912731922298394,7,24
Rest,0.977670444262153,7,25
Rest,0.943993823379893,7,26
Rest,0.874012260115313,7,27
Rest,0.891502193979252,7,28
Rest,0.948332875533117,7,29
Rest,0.968474033891544,7,30
Rest,0.896432593932503,7,31
Rest,0.95264475778972,7,32
Rest,0.901572350208572,7,33
Rest,0.926489372810666,7,34
Rest,0.930482680189493,7,35
Rest,1.01679283536141,7,36
Rest,1.06407310134743,7,37
Rest,0.912720728250138,7,38
Rest,0.999303837870318,7,39
Rest,0.833744037239724,7,40
Rest,0.981360493152784,7,41
Rest,0.876782116633158,7,42
Rest,0.866572060184066,7,43
Rest,0.912791758624933,7,44
Rest,0.974395594095805,7,45
Rest,0.933943350452514,7,46
Rest,0.861450506908098,7,47
Rest,0.888895465429565,7,48
Rest,0.943673601804274,7,49
Rest,0.956167104713452,7,50
Rest,0.907747114877591,7,51
Rest,0.949431652623108,7,52
Rest,0.892490498594853,7,53
Rest,0.917440259361753,7,54
Rest,0.917747308282149,7,55
Rest,1.00973452640942,7,56
Rest,1.05630818002692,7,57
Rest,0.90973451984496,7,58
Rest,0.997776638885258,7,59
Rest,0.818009307561654,7,60
Rest,1.02039199071761,7,61
Rest,0.921949867029973,7,62
Rest,0.916168702677653,7,63
Rest,0.949307209721816,7,64
Rest,1.01275610311395,7,65
Rest,0.995699364414328,7,66
Rest,0.908232126279672,7,67
Rest,0.935394240825481,7,68
Rest,0.992545884383183,7,69
Rest,1.01375657009861,7,70
Rest,0.957466293547443,7,71
Rest,0.99498634805889,7,72
Rest,0.956483725138396,7,73
Rest,0.974430807098756,7,74
Rest,0.963382306239891,7,75
Rest,1.07104115172792,7,76
Rest,1.10773496023448,7,77
Rest,0.954199210965184,7,78
Rest,1.04079501935903,7,79
Rest,0.863531597895612,7,80
Rest,1.02481172106292,7,81
Rest,0.92539163199536,7,82
Rest,0.923780730341906,7,83
Rest,0.964021316249145,7,84
Rest,1.02381139854285,7,85
Rest,0.99354124749094,7,86
Rest,0.921782029824474,7,87
Rest,0.940160270484738,7,88
Rest,0.990279298608809,7,89
Rest,1.00412368305129,7,90
Rest,0.953995442895912,7,91
Rest,0.983265002528838,7,92
Rest,0.959877954039459,7,93
Rest,0.970923172575629,7,94
Rest,0.978521330417509,7,95
Rest,1.0657954140318,7,96
Rest,1.11110039731948,7,97
Rest,0.94753472395184,7,98
Rest,1.0365033178302,7,99
Rest,0.870199301691049,7,100
Rest,1.10108534619929,7,101
Rest,0.981674036680045,7,102
Rest,0.965686738331482,7,103
Rest,1.03052039768885,7,104
Rest,1.08721897090962,7,105
Rest,1.06472952910037,7,106
Rest,0.989772779226049,7,107
Rest,0.995279395394423,7,108
Rest,1.05411539844212,7,109
Rest,1.06996524626602,7,110
Rest,0.997183869221117,7,111
Rest,1.06388140465723,7,112
Rest,1.02245359399054,7,113
Rest,1.03299112114509,7,114
Rest,1.04497328713929,7,115
Rest,1.12342191870534,7,116
Rest,1.1699228206683,7,117
Rest,1.02089679429786,7,118
Rest,1.10462527320816,7,119
Rest,0.918193244407616,7,120
Rest,0.98689551114593,7,121
Rest,0.884926392790501,7,122
Rest,0.879278680862047,7,123
Rest,0.925590661527388,7,124
Rest,0.99108581856575,7,125
Rest,0.950827742837357,7,126
Rest,0.885914464068951,7,127
Rest,0.899908739920529,7,128
Rest,0.950325231054493,7,129
Rest,0.978457827671913,7,130
Rest,0.908729745327908,7,131
Rest,0.954427793960156,7,132
Rest,0.915359618013312,7,133
Rest,0.937479267946603,7,134
Rest,0.93667894032795,7,135
Rest,1.01737918012423,7,136
Rest,1.07564934637523,7,137
