Condition,PTE,Subject,Pair
IPL,0.0276847828205955,1,1
IPL,-0.065047483357817,1,2
IPL,-0.0427534327531411,1,3
IPL,0.0551925103273787,1,4
IPL,0.759434761984566,2,1
IPL,-0.282778505786011,2,2
IPL,-0.284661473124578,2,3
IPL,-0.254529144725639,2,4
IPL,-0.110270527422686,2,5
IPL,-0.0343904781078272,2,6
IPL,-0.21605952316847,2,7
IPL,-0.356257358072426,2,8
IPL,-0.112000272231326,2,9
IPL,-0.068971137241606,2,10
IPL,-0.13333298239429,2,11
IPL,-0.282659551580044,2,12
IPL,-0.147571494994572,2,13
IPL,-0.228717667095857,2,14
IPL,-0.236887519249882,2,15
IPL,-0.104438547899541,2,16
IPL,-0.27886807770154,2,17
IPL,0.514758747821338,3,1
IPL,-0.0423431626194988,3,2
IPL,-0.0940585905644984,3,3
IPL,0.00521632872531952,3,4
IPL,-0.00449640164940135,3,5
IPL,0.408649085751539,3,6
IPL,0.648076446190367,3,7
IPL,0.642013036595332,3,8
IPL,0.525531982960809,3,9
IPL,-0.0214704504556744,3,10
IPL,-0.0860386982838413,3,11
IPL,0.018998004112359,3,12
IPL,0.00484067172384406,3,13
IPL,0.440753598824646,3,14
IPL,0.67789776716329,3,15
IPL,0.668934908760856,3,16
IPL,-0.075369095104066,4,1
IPL,-0.0139813987390474,4,2
IPL,-0.0441436193725775,4,3
IPL,-0.184636307773956,4,4
IPL,-0.0891199038404666,4,5
IPL,0.00604949597143212,4,6
IPL,-0.0446953838902981,4,7
IPL,-0.192518185311176,4,8
IPL,-0.137487652139473,4,9
IPL,-0.0359193874611705,4,10
IPL,-0.0913800581191841,4,11
IPL,-0.223007751974147,4,12
IPL,0.0488330454536614,5,1
IPL,-0.051008651861724,5,2
IPL,0.011429178453394,5,3
IPL,-0.213443921838422,5,4
IPL,-0.0855314278090359,5,5
IPL,-0.0461011260207079,5,6
IPL,0.213907217824178,5,7
IPL,0.131755298332146,5,8
IPL,0.147913183365806,5,9
IPL,-0.0645567084648822,5,10
IPL,0.0786744886664241,5,11
IPL,0.110625933905249,5,12
IPL,0.239767800251461,5,13
IPL,0.157269673643719,5,14
IPL,0.187589649184898,5,15
IPL,-0.0263545410639092,5,16
IPL,0.0925040851975762,5,17
IPL,0.136577663619072,5,18
IPL,0.236465190180897,5,19
IPL,0.166675661960337,5,20
IPL,0.176637322878479,5,21
IPL,-0.0380044916882787,5,22
IPL,0.0811586388749719,5,23
IPL,0.147969231735689,5,24
IPL,-0.329137170577637,6,1
IPL,-0.422249750862318,6,2
IPL,-0.156930503901614,6,3
IPL,-0.288101220702141,6,4
IPL,-0.174697897177956,6,5
IPL,-0.37894574634266,6,6
IPL,-0.123653657542729,6,7
IPL,-0.258296524372058,6,8
IPL,-0.209128704318634,6,9
IPL,-0.0778516006876051,6,10
IPL,-0.219785182281267,6,11
IPL,-0.204536004487709,6,12
IPL,-0.230153128336269,6,13
IPL,-0.198239388100263,6,14
IPL,-0.26427471932507,6,15
IPL,-0.383352227662448,6,16
IPL,-0.385786184652977,6,17
IPL,-0.276165725809893,6,18
IPL,-0.254442618552188,6,19
IPL,-0.308885088118954,6,20
IPL,-0.293263784287124,6,21
IPL,-0.37377805823596,6,22
IPL,-0.108395814402327,6,23
IPL,-0.23742384908079,6,24
IPL,-0.119228583505138,6,25
IPL,-0.318303086693432,6,26
IPL,-0.0641773770067617,6,27
IPL,-0.207313939115798,6,28
IPL,-0.15664366084902,6,29
IPL,-0.0330690632596931,6,30
IPL,-0.175003197760136,6,31
IPL,-0.142283638309108,6,32
IPL,-0.180212115561666,6,33
IPL,-0.14200741800147,6,34
IPL,-0.204904025254622,6,35
IPL,-0.333388946520218,6,36
IPL,-0.341337602835424,6,37
IPL,-0.232778713037737,6,38
IPL,-0.213947700970002,6,39
IPL,-0.243457940390931,6,40
IPL,-0.206742845061106,6,41
IPL,-0.316253309486828,6,42
IPL,-0.0320579726198416,6,43
IPL,-0.173869088640562,6,44
IPL,-0.0460458301107611,6,45
IPL,-0.254822944200877,6,46
IPL,0.0221361951696177,6,47
IPL,-0.133952093646654,6,48
IPL,-0.0581261351979432,6,49
IPL,0.05155834256878,6,50
IPL,-0.0964683060459539,6,51
IPL,-0.0699337126704001,6,52
IPL,-0.0974333560660927,6,53
IPL,-0.0632988032963691,6,54
IPL,-0.147354490145799,6,55
IPL,-0.271236499814639,6,56
IPL,-0.276160571400718,6,57
IPL,-0.164879450887925,6,58
IPL,-0.138936676411834,6,59
IPL,-0.181469352183926,6,60
IPL,-0.224801564978582,7,1
IPL,-0.257700266087227,7,2
IPL,-0.27074013213801,7,3
IPL,-0.337416355470904,7,4
IPL,-0.119857147771169,7,5
IPL,-0.128510417711678,7,6
IPL,-0.19569784931167,7,7
IPL,-0.196780620847897,8,1
IPL,0.0867665230109481,8,2
IPL,-0.0146795427623766,8,3
IPL,0.217655311130931,8,4
IPL,-0.118831126578917,8,5
IPL,0.0972122539457362,8,6
IPL,0.323600649503118,8,7
IPL,0.149369354413403,8,8
IPL,0.296784503085346,8,9
IPL,0.215976052323463,8,10
IPL,-0.0535304812993965,8,11
IPL,0.0704807966074809,8,12
IPL,0.179674188822939,8,13
IPL,0.33695081681516,8,14
IPL,0.181491149880491,8,15
IPL,0.0042479916485253,8,16
IPL,0.108739667139487,8,17
IPL,0.307818690991701,8,18
IPL,0.285327071440561,8,19
IPL,-0.0178549640314736,8,20
IPL,0.24742415963522,8,21
IPL,0.175468563189133,8,22
IPL,0.362213521396149,8,23
IPL,-0.312719597260056,8,24
IPL,-0.0559944629527086,8,25
IPL,-0.131925328294744,8,26
IPL,0.0913486937038652,8,27
IPL,-0.231036962974105,8,28
IPL,0.0177703584612163,8,29
IPL,0.179149779735402,8,30
IPL,0.0517752593561244,8,31
IPL,0.22415270201567,8,32
IPL,0.178347492432715,8,33
IPL,-0.139960309981942,8,34
IPL,-0.00292340730088081,8,35
IPL,0.110822921163417,8,36
IPL,0.200847068773146,8,37
IPL,0.0485008864577311,8,38
IPL,-0.127918146064848,8,39
IPL,-0.0169812341736831,8,40
IPL,0.185592041027585,8,41
IPL,0.188145783403182,8,42
IPL,-0.112993034257352,8,43
IPL,0.115010430473178,8,44
IPL,0.0463679956800563,8,45
IPL,0.24874156077732,8,46
IPL,-0.0724807210912448,8,47
IPL,0.20610714703016,8,48
IPL,0.103629419926013,8,49
IPL,0.326044532782629,8,50
IPL,-0.0184685662644603,8,51
IPL,0.199963916571906,8,52
IPL,0.417992821894746,8,53
IPL,0.252406660813104,8,54
IPL,0.408462443125295,8,55
IPL,0.343599118782955,8,56
IPL,0.0705718171551168,8,57
IPL,0.184353520899332,8,58
IPL,0.295250592581411,8,59
IPL,0.4200407105771,8,60
IPL,0.298860620041324,8,61
IPL,0.0797732989254036,8,62
IPL,0.179918160046124,8,63
IPL,0.389649163924444,8,64
IPL,0.380829166977622,8,65
IPL,0.066409358985462,8,66
IPL,0.354320851159254,8,67
IPL,0.291169900293777,8,68
IPL,0.477448973651167,8,69
IPL,-0.0691285821794825,9,1
IPL,-0.0961937788102289,9,2
IPL,-0.0777934996745282,9,3
IPL,-0.0945924208438118,9,4
IPL,-0.105444034739498,9,5
IPL,-0.0263365860900033,9,6
IPL,-0.093862564164499,9,7
IPL,-0.054033179442472,9,8
IPL,-0.0209437737662791,9,9
IPL,-0.0942765008735647,9,10
IPL,-0.00859109617675613,9,11
IPL,-0.0908690524885867,9,12
IPL,-0.0231852463384385,9,13
IPL,-0.0432412755215617,9,14
IPL,-0.0719400665745209,9,15
IPL,-0.0274153076772541,9,16
IPL,-0.0820018563928426,9,17
IPL,-0.00628881376423207,9,18
IPL,-0.0548646619184094,9,19
IPL,-0.00188609310948351,9,20
IPL,-0.0620550589726696,9,21
IPL,-0.055515956005882,9,22
IPL,-0.121909835211327,9,23
IPL,-0.163669495040951,9,24
IPL,-0.0341247093756254,9,25
IPL,-0.111011853395982,9,26
IPL,-0.0479930110611277,9,27
IPL,-0.00543317698044254,9,28
IPL,-0.0325625177552757,9,29
IPL,-0.005309506069197,9,30
IPL,-0.0234406640145106,9,31
IPL,-0.025115056408463,9,32
IPL,0.0554899524405745,9,33
IPL,0.0130310823006907,9,34
IPL,0.00806126890846892,9,35
IPL,0.0441278908405277,9,36
IPL,-0.0267038314804655,9,37
IPL,0.0569691013260063,9,38
IPL,-0.0151630360379849,9,39
IPL,0.0540326410374981,9,40
IPL,0.0415945312298871,9,41
IPL,0.0183501298693006,9,42
IPL,0.0366747880857735,9,43
IPL,-0.00400653068442758,9,44
IPL,0.0757435967854402,9,45
IPL,0.0148751306957919,9,46
IPL,0.0860416241642441,9,47
IPL,0.0288247012867235,9,48
IPL,0.0259653069189412,9,49
IPL,-0.0462256642319823,9,50
IPL,-0.0816588755279002,9,51
IPL,0.0511756261833742,9,52
IPL,-0.00406110455576281,9,53
IPL,0.0402989904406048,9,54
IPL,0.0646223527226355,9,55
IPL,0.0512566323239536,9,56
IPL,0.0642618408234442,9,57
IPL,0.04639688534623,9,58
