Condition,PTE,Subject,Pair
IPS,1.424636876281,1,1
IPS,1.36755881936762,1,2
IPS,1.43983635483,1,3
IPS,1.29776034533879,1,4
IPS,1.35599598049577,1,5
IPS,1.44670167677286,1,6
IPS,1.39293174411021,1,7
IPS,1.26410699860168,1,8
IPS,1.52316596518254,1,9
IPS,1.51012324708929,1,10
IPS,1.45606872046764,1,11
IPS,1.37212169911929,1,12
IPS,1.28191226625042,1,13
IPS,1.27299910002897,1,14
IPS,1.28713459558236,1,15
IPS,1.21655255786218,1,16
IPS,1.14494468917677,2,1
IPS,1.13486570105824,2,2
IPS,1.05952317155922,2,3
IPS,1.29998334149508,3,1
IPS,1.34958798427424,3,2
IPS,1.31077869059707,3,3
IPS,1.29471215551674,3,4
IPS,1.23447222959043,3,5
IPS,1.09470565988289,3,6
IPS,1.18100272220712,3,7
IPS,1.27395737355603,3,8
IPS,1.27379049303936,3,9
IPS,1.30808536791783,3,10
IPS,1.29807636935171,3,11
IPS,1.1029108200321,4,1
IPS,1.0867619884237,4,2
IPS,1.11279022962864,4,3
IPS,1.08036067459142,4,4
IPS,1.08999726600937,4,5
IPS,1.10083892254331,4,6
IPS,0.643216118815248,5,1
IPS,0.490646490947174,5,2
IPS,0.636073412926037,5,3
IPS,0.390165422173786,5,4
IPS,0.508616220834692,5,5
IPS,0.830391605664134,5,6
IPS,0.777920668603791,5,7
IPS,0.718183261892552,5,8
IPS,0.613998020591725,5,9
IPS,0.662698930622047,5,10
IPS,0.479892511573083,5,11
IPS,0.593180497583212,5,12
IPS,0.441410882810985,5,13
IPS,0.494789636426121,5,14
IPS,0.80381223099896,5,15
IPS,0.715510669307843,5,16
IPS,0.67129740287618,5,17
IPS,0.576294814678462,5,18
IPS,0.726070978572915,5,19
IPS,0.55923515605586,5,20
IPS,0.766130016827129,5,21
IPS,0.436764613869723,5,22
IPS,0.597107468119851,5,23
IPS,0.881472293916583,5,24
IPS,0.887869256559967,5,25
IPS,0.83465479721806,5,26
IPS,0.558504976171919,5,27
IPS,0.661054283618151,5,28
IPS,0.511614133440903,5,29
IPS,0.621263835225665,5,30
IPS,0.375480257997847,5,31
IPS,0.48848787709314,5,32
IPS,0.825734511810332,5,33
IPS,0.795012865453232,5,34
IPS,0.763579611151418,5,35
IPS,0.630456211266651,5,36
IPS,0.661574692552734,5,37
IPS,0.497138798874439,5,38
IPS,0.647073529393576,5,39
IPS,0.467989337805859,5,40
IPS,0.568714208465185,5,41
IPS,0.802017212856692,5,42
IPS,0.735337849554728,5,43
IPS,0.651802567899912,5,44
IPS,0.571113349425936,5,45
IPS,0.622178728053399,5,46
IPS,0.520178122067633,5,47
IPS,0.664844773923017,5,48
IPS,0.423016772406278,5,49
IPS,0.53869798196257,5,50
IPS,0.843164244086418,5,51
IPS,0.771976800901365,5,52
IPS,0.712443825759132,5,53
IPS,0.624823667686602,5,54
IPS,0.683741154157454,5,55
IPS,0.479859405906922,5,56
IPS,0.659025682108164,5,57
IPS,0.394927780004294,5,58
IPS,0.509470381814703,5,59
IPS,0.822328250639465,5,60
IPS,0.786635672263471,5,61
IPS,0.743755725425165,5,62
IPS,0.594434447184704,5,63
IPS,1.17172547459178,6,1
IPS,1.26583390075344,6,2
IPS,1.18311155126689,7,1
IPS,1.26751309144811,7,2
IPS,1.29778965680274,7,3
IPS,1.27923853081717,7,4
IPS,1.31243685370127,7,5
IPS,1.30020927715489,7,6
IPS,1.45154331794452,7,7
IPS,1.40872294581649,7,8
IPS,1.16514128378205,7,9
IPS,1.24464204795312,7,10
IPS,1.27251985424305,7,11
IPS,1.27413824209225,7,12
IPS,1.31075709908335,7,13
IPS,1.28470672621222,7,14
IPS,1.4348039563905,7,15
IPS,1.37892577393704,7,16
IPS,1.16375505048904,7,17
IPS,1.28570950724357,7,18
IPS,1.31979316238376,7,19
IPS,1.29230829014443,7,20
IPS,1.30955969270314,7,21
IPS,1.31323828158868,7,22
IPS,1.4744392487805,7,23
IPS,1.41174900775866,7,24
IPS,1.08122081532336,7,25
IPS,1.13745608686387,7,26
IPS,1.10552906122335,7,27
IPS,1.18655175052925,7,28
IPS,1.18700620771856,7,29
IPS,1.19899377514323,7,30
IPS,1.28915669670162,7,31
IPS,1.23177471740772,7,32
IPS,1.09414240664496,7,33
IPS,1.18552235437616,7,34
IPS,1.17190415244743,7,35
IPS,1.21275926703625,7,36
IPS,1.23150902764366,7,37
IPS,1.23610737813899,7,38
IPS,1.34125006180036,7,39
IPS,1.29270068294354,7,40
IPS,1.20941367981601,8,1
IPL,1.34484008672558,1,1
IPL,1.08661952810036,2,1
IPL,1.11365751454477,2,2
IPL,1.06509873980252,2,3
