Condition,PTE,Subject,Pair
FG,1.424636876281,1,1
FG,1.36755881936762,1,2
FG,1.43983635483,1,3
FG,1.29776034533879,1,4
FG,1.35599598049577,1,5
FG,1.44670167677286,1,6
FG,1.39293174411021,1,7
FG,1.26410699860168,1,8
FG,1.52316596518254,1,9
FG,1.51012324708929,1,10
FG,1.45606872046764,1,11
FG,1.37212169911929,1,12
FG,1.28191226625042,1,13
FG,1.27299910002897,1,14
FG,1.28713459558236,1,15
FG,1.21655255786218,1,16
FG,1.14494468917677,2,1
FG,1.13486570105824,2,2
FG,1.05952317155922,2,3
FG,1.29998334149508,3,1
FG,1.34958798427424,3,2
FG,1.31077869059707,3,3
FG,1.29471215551674,3,4
FG,1.23447222959043,3,5
FG,1.09470565988289,3,6
FG,1.18100272220712,3,7
FG,1.27395737355603,3,8
FG,1.27379049303936,3,9
FG,1.30808536791783,3,10
FG,1.29807636935171,3,11
FG,1.1029108200321,4,1
FG,1.0867619884237,4,2
FG,1.11279022962864,4,3
FG,1.08036067459142,4,4
FG,1.08999726600937,4,5
FG,1.10083892254331,4,6
FG,0.643216118815248,5,1
FG,0.490646490947174,5,2
FG,0.636073412926037,5,3
FG,0.390165422173786,5,4
FG,0.508616220834692,5,5
FG,0.830391605664134,5,6
FG,0.777920668603791,5,7
FG,0.718183261892552,5,8
FG,0.613998020591725,5,9
FG,0.662698930622047,5,10
FG,0.479892511573083,5,11
FG,0.593180497583212,5,12
FG,0.441410882810985,5,13
FG,0.494789636426121,5,14
FG,0.80381223099896,5,15
FG,0.715510669307843,5,16
FG,0.67129740287618,5,17
FG,0.576294814678462,5,18
FG,0.726070978572915,5,19
FG,0.55923515605586,5,20
FG,0.766130016827129,5,21
FG,0.436764613869723,5,22
FG,0.597107468119851,5,23
FG,0.881472293916583,5,24
FG,0.887869256559967,5,25
FG,0.83465479721806,5,26
FG,0.558504976171919,5,27
FG,0.661054283618151,5,28
FG,0.511614133440903,5,29
FG,0.621263835225665,5,30
FG,0.375480257997847,5,31
FG,0.48848787709314,5,32
FG,0.825734511810332,5,33
FG,0.795012865453232,5,34
FG,0.763579611151418,5,35
FG,0.630456211266651,5,36
FG,0.661574692552734,5,37
FG,0.497138798874439,5,38
FG,0.647073529393576,5,39
FG,0.467989337805859,5,40
FG,0.568714208465185,5,41
FG,0.802017212856692,5,42
FG,0.735337849554728,5,43
FG,0.651802567899912,5,44
FG,0.571113349425936,5,45
FG,0.622178728053399,5,46
FG,0.520178122067633,5,47
FG,0.664844773923017,5,48
FG,0.423016772406278,5,49
FG,0.53869798196257,5,50
FG,0.843164244086418,5,51
FG,0.771976800901365,5,52
FG,0.712443825759132,5,53
FG,0.624823667686602,5,54
FG,0.683741154157454,5,55
FG,0.479859405906922,5,56
FG,0.659025682108164,5,57
FG,0.394927780004294,5,58
FG,0.509470381814703,5,59
FG,0.822328250639465,5,60
FG,0.786635672263471,5,61
FG,0.743755725425165,5,62
FG,0.594434447184704,5,63
FG,1.17172547459178,6,1
FG,1.26583390075344,6,2
FG,1.18311155126689,7,1
FG,1.26751309144811,7,2
FG,1.29778965680274,7,3
FG,1.27923853081717,7,4
FG,1.31243685370127,7,5
FG,1.30020927715489,7,6
FG,1.45154331794452,7,7
FG,1.40872294581649,7,8
FG,1.16514128378205,7,9
FG,1.24464204795312,7,10
FG,1.27251985424305,7,11
FG,1.27413824209225,7,12
FG,1.31075709908335,7,13
FG,1.28470672621222,7,14
FG,1.4348039563905,7,15
FG,1.37892577393704,7,16
FG,1.16375505048904,7,17
FG,1.28570950724357,7,18
FG,1.31979316238376,7,19
FG,1.29230829014443,7,20
FG,1.30955969270314,7,21
FG,1.31323828158868,7,22
FG,1.4744392487805,7,23
FG,1.41174900775866,7,24
FG,1.08122081532336,7,25
FG,1.13745608686387,7,26
FG,1.10552906122335,7,27
FG,1.18655175052925,7,28
FG,1.18700620771856,7,29
FG,1.19899377514323,7,30
FG,1.28915669670162,7,31
FG,1.23177471740772,7,32
FG,1.09414240664496,7,33
FG,1.18552235437616,7,34
FG,1.17190415244743,7,35
FG,1.21275926703625,7,36
FG,1.23150902764366,7,37
FG,1.23610737813899,7,38
FG,1.34125006180036,7,39
FG,1.29270068294354,7,40
FG,1.20941367981601,8,1
HIPP,0.691809970498,1,1
HIPP,0.871600113757122,1,2
HIPP,1.0667496265833,1,3
HIPP,1.25208518540925,1,4
HIPP,1.08064667888521,1,5
HIPP,1.24198626551123,1,6
HIPP,1.03984932324222,1,7
HIPP,1.26346227782733,1,8
HIPP,1.15209624075441,2,1
HIPP,1.14527753443653,2,2
HIPP,1.15397267320392,2,3
HIPP,1.13750755431642,2,4
HIPP,1.11215355371461,2,5
HIPP,1.11934942487754,2,6
HIPP,1.06818558663221,2,7
HIPP,1.08948349906073,2,8
HIPP,1.08488802791397,2,9
HIPP,1.08516046186677,3,1
HIPP,1.06755875342399,3,2
HIPP,1.06637841540892,3,3
HIPP,1.12185399142202,3,4
HIPP,0.628218645021446,4,1
HIPP,0.478000293010474,4,2
HIPP,0.607261389559168,4,3
HIPP,0.458238772711836,4,4
HIPP,0.509280891565454,4,5
HIPP,0.807405904294883,4,6
HIPP,0.715097709377356,4,7
HIPP,0.634333462472677,4,8
HIPP,0.555852516334899,4,9
HIPP,0.967282234312729,5,1
HIPP,1.03238312427627,5,2
HIPP,0.935744480646543,5,3
HIPP,0.933078696837221,5,4
HIPP,0.939783897636073,5,5
HIPP,1.24649471807866,5,6
HIPP,1.29736895663528,5,7
HIPP,1.2139887876966,5,8
HIPP,1.21105380455597,5,9
HIPP,1.21431521024081,5,10
HIPP,1.09055844993056,5,11
HIPP,1.14449926571544,5,12
HIPP,1.06616896463923,5,13
HIPP,1.06047884735119,5,14
HIPP,1.05848961662319,5,15
HIPP,1.19130609824288,6,1
HIPP,1.18627518718772,6,2
HIPP,1.07437886530313,6,3
HIPP,1.33588419865828,6,4
HIPP,1.29443721454061,6,5
HIPP,1.15173244530962,6,6
HIPP,1.24942865980209,7,1
HIPP,1.16578315366939,7,2
HIPP,1.30677249060089,7,3
HIPP,1.21892616894973,7,4
HIPP,1.15186008335676,7,5
HIPP,1.25658326432674,7,6
HIPP,1.20047862578548,7,7
HIPP,1.12947530222077,7,8
HIPP,1.23992894756598,7,9
HIPP,1.23286560850858,7,10
HIPP,1.15967786923756,7,11
HIPP,1.27733086240934,7,12
HIPP,1.21361046389812,7,13
HIPP,1.12186339942388,7,14
HIPP,1.29967706847516,7,15
HIPP,1.26541982654432,7,16
HIPP,1.16315997079673,7,17
HIPP,1.31277987907352,7,18
HIPP,1.22357048157539,7,19
HIPP,1.11996423192852,7,20
HIPP,1.29654791485369,7,21
HIPP,1.02697311409001,8,1
HIPP,1.11125234468275,8,2
HIPP,1.0788369369849,8,3
HIPP,1.13716558051437,8,4
HIPP,1.14508933239243,8,5
HIPP,1.02895194631716,8,6
HIPP,1.14496832020869,8,7
HIPP,1.11191395849702,8,8
HIPP,1.18655657090568,8,9
HIPP,1.21229967095147,8,10
HIPP,1.00540040044445,8,11
HIPP,1.14944945023177,8,12
HIPP,1.08711279011341,8,13
HIPP,1.18138783005107,8,14
HIPP,1.22617141763121,8,15
HIPP,1.04526448430734,8,16
HIPP,1.18854334360681,8,17
HIPP,1.12211260172208,8,18
HIPP,1.22720476664724,8,19
HIPP,1.26825911242934,8,20
HIPP,0.989858605821459,8,21
HIPP,1.13742668141801,8,22
HIPP,1.07817002151411,8,23
HIPP,1.17977987000123,8,24
HIPP,1.2240748053363,8,25
HIPP,0.999320917285671,8,26
HIPP,1.1286030773827,8,27
HIPP,1.0778951583695,8,28
HIPP,1.15893711796248,8,29
HIPP,1.1896220395198,8,30
HIPP,1.01243045761622,8,31
HIPP,1.17543216241699,8,32
HIPP,1.09625282124315,8,33
HIPP,1.20487617277403,8,34
HIPP,1.23744313859575,8,35
HIPP,0.973085116996631,9,1
HIPP,1.00707940717438,9,2
HIPP,0.954661779088582,9,3
HIPP,1.11788400096567,9,4
HIPP,1.11032993148438,9,5
HIPP,1.10660784457963,9,6
HIPP,1.16707333179162,9,7
HIPP,1.13415978304196,9,8
HIPP,1.2054443011411,10,1
HIPP,1.17565864376964,10,2
HIPP,1.24210431070734,10,3
HIPP,1.26879246537755,10,4
HIPP,1.24009028839035,10,5
