Condition,PTE,Subject,Pair
IPL,1.10458510424309,1,1
IPL,1.11046893059951,1,2
IPL,1.18609592092066,1,3
IPL,1.08264387742595,1,4
IPL,1.3600084423059,2,1
IPL,1.30415726517929,2,2
IPL,1.3093952024543,2,3
IPL,1.16999818457011,2,4
IPL,1.21826961060686,2,5
IPL,1.26649557680504,2,6
IPL,1.29897319170674,2,7
IPL,1.24598880595921,2,8
IPL,1.20166324812126,2,9
IPL,1.15162675487436,2,10
IPL,1.3878644589067,2,11
IPL,1.0813389295627,2,12
IPL,1.11219026942156,2,13
IPL,1.17636756047336,2,14
IPL,1.2429219438192,2,15
IPL,1.24523423984465,2,16
IPL,0.728499809139662,3,1
IPL,1.09142215756262,3,2
IPL,1.09738652177582,3,3
IPL,1.05454406680513,3,4
IPL,0.728096682157272,3,5
IPL,1.0940950245131,3,6
IPL,1.10014474852172,3,7
IPL,1.0215414174063,3,8
IPL,1.13081914960008,4,1
IPL,1.1500885816949,4,2
IPL,1.16598662640215,4,3
IPL,1.11620733466124,5,1
IPL,1.06624096261923,5,2
IPL,1.0451774818134,5,3
IPL,1.11162729529025,5,4
IPL,1.07534235785594,5,5
IPL,1.04090246214594,5,6
IPL,1.07614028348386,5,7
IPL,1.04388061301199,5,8
IPL,0.992258740837379,5,9
IPL,1.07457051127038,5,10
IPL,1.04262697465592,5,11
IPL,0.932632640390905,5,12
IPL,1.2063406966388,6,1
IPL,1.24730532203114,6,2
IPL,1.19800760577041,6,3
IPL,1.27118605430763,6,4
IPL,0.917783739762244,6,5
IPL,1.08023340497212,6,6
IPL,0.650495430152751,7,1
IPL,0.520593187353031,7,2
IPL,0.653862435655848,7,3
IPL,0.475286583982175,7,4
IPL,0.57479148405633,7,5
IPL,0.832932665382828,7,6
IPL,0.713492395585423,7,7
IPL,0.657648798921682,7,8
IPL,0.595860063771583,7,9
IPL,0.615604248149504,7,10
IPL,0.490106552064129,7,11
IPL,0.579031517817211,7,12
IPL,0.381675735490403,7,13
IPL,0.455605999264833,7,14
IPL,0.814556299353412,7,15
IPL,0.732141278662789,7,16
IPL,0.681728823232022,7,17
IPL,0.574111065899381,7,18
IPL,0.657741529426636,7,19
IPL,0.498620826115057,7,20
IPL,0.630669744884928,7,21
IPL,0.468590678229725,7,22
IPL,0.542112740974685,7,23
IPL,0.81521765805329,7,24
IPL,0.723493591067428,7,25
IPL,0.644352732039096,7,26
IPL,0.559471772934239,7,27
IPL,1.06118140889372,8,1
IPL,0.965122521771661,8,2
IPL,1.09534371012838,8,3
IPL,1.02951338119674,8,4
IPL,1.09305493977562,8,5
IPL,1.03241500297894,8,6
IPL,1.05611168354054,8,7
IPL,1.05532528068771,8,8
IPL,1.05564586128761,8,9
IPL,1.06247189296016,8,10
IPL,1.0443453279439,8,11
IPL,1.08114982131882,8,12
IPL,1.02908816719528,8,13
IPL,1.0805125681081,8,14
IPL,1.07582561634294,8,15
IPL,1.0965939312256,8,16
IPL,1.15064029058227,8,17
IPL,1.03105183124089,8,18
IPL,1.0762289813538,8,19
IPL,1.06986366549943,8,20
IPL,1.03551935229607,8,21
IPL,0.889056312495424,8,22
IPL,1.02599531318446,8,23
IPL,0.966730664793003,8,24
IPL,1.02826842216672,8,25
IPL,0.968347425222216,8,26
IPL,0.973929054839151,8,27
IPL,0.97338320039459,8,28
IPL,0.964980005400755,8,29
IPL,0.955507345875613,8,30
IPL,0.976047629884842,8,31
IPL,1.01283228348745,8,32
IPL,0.953672974699087,8,33
IPL,1.00379146053862,8,34
IPL,1.00126598493621,8,35
IPL,1.02744641482764,8,36
IPL,1.08080365857299,8,37
IPL,0.964697992878358,8,38
IPL,1.00362747295781,8,39
IPL,0.979700539351733,8,40
IPL,1.00789309854223,8,41
IPL,0.944122154780557,8,42
IPL,0.998194750165367,8,43
IPL,0.953765575931789,8,44
IPL,1.00177353815162,8,45
IPL,0.962281481781898,8,46
IPL,0.957132188886704,8,47
IPL,0.962151977545255,8,48
IPL,0.997440901497067,8,49
IPL,1.00159706982494,8,50
IPL,0.950342993763895,8,51
IPL,0.998512188997979,8,52
IPL,0.937953364742537,8,53
IPL,0.981375289743988,8,54
IPL,0.977271184212522,8,55
IPL,1.01026969163005,8,56
IPL,1.0623742670328,8,57
IPL,0.943043134818505,8,58
IPL,0.991931242882736,8,59
IPL,0.968029730017012,8,60
IPL,1.04471533070385,8,61
IPL,0.969721376436517,8,62
IPL,1.04861773199421,8,63
IPL,0.966316293131602,8,64
IPL,1.03768223679605,8,65
IPL,0.985954076744416,8,66
IPL,0.993150100616075,8,67
IPL,1.00424814855184,8,68
IPL,1.02230341755427,8,69
IPL,0.945405232929318,8,70
IPL,0.969503770382732,8,71
IPL,1.03145683852019,8,72
IPL,0.980466341171067,8,73
IPL,1.02192374893245,8,74
IPL,1.02150027671024,8,75
IPL,1.02972776240349,8,76
IPL,1.08068017054529,8,77
IPL,0.975732693578523,8,78
IPL,1.03455824637149,8,79
IPL,1.00974789988675,8,80
IPL,1.01701869723246,8,81
IPL,0.918847295459518,8,82
IPL,1.01134537553786,8,83
IPL,0.94817135408728,8,84
IPL,1.01257018127541,8,85
IPL,0.959089610713303,8,86
IPL,0.96894115720697,8,87
IPL,0.957753188945355,8,88
IPL,0.999355042280666,8,89
IPL,1.00110896836342,8,90
IPL,0.955550960521265,8,91
IPL,1.00261504253513,8,92
IPL,0.947903452284907,8,93
IPL,0.984140120558393,8,94
IPL,0.99904322827345,8,95
IPL,0.9919456777285,8,96
IPL,1.05845510606429,8,97
IPL,0.942460864162683,8,98
IPL,1.00259394213504,8,99
IPL,0.974425929845785,8,100
IPL,0.98229054075238,8,101
IPL,0.899077953271841,8,102
IPL,0.983618133895597,8,103
IPL,0.916533070984398,8,104
IPL,0.970396403087056,8,105
IPL,0.932503813076372,8,106
IPL,0.925254371565602,8,107
IPL,0.934399230174801,8,108
IPL,0.962162837626862,8,109
IPL,0.960633409488556,8,110
IPL,0.925598545304457,8,111
IPL,0.969433314128913,8,112
IPL,0.911817876081021,8,113
IPL,0.952762162866064,8,114
IPL,0.953515523939722,8,115
IPL,0.973748652439227,8,116
IPL,1.02620773270433,8,117
IPL,0.907153625986889,8,118
IPL,0.963216580019367,8,119
IPL,0.939842642558529,8,120
IPL,1.10792990727904,9,1
IPL,1.08783114140683,9,2
IPL,1.10650312476694,9,3
IPL,1.10271732583767,9,4
IPL,1.07071381040956,9,5
IPL,1.11347215501927,9,6
IPL,1.05683497775822,9,7
IPL,1.13177560968573,10,1
IPL,1.12394280008225,10,2
IPL,1.18068129175431,10,3
HIPP,0.691809970498,1,1
HIPP,0.871600113757122,1,2
HIPP,1.0667496265833,1,3
HIPP,1.25208518540925,1,4
HIPP,1.08064667888521,1,5
HIPP,1.24198626551123,1,6
HIPP,1.03984932324222,1,7
HIPP,1.26346227782733,1,8
HIPP,1.15209624075441,2,1
HIPP,1.14527753443653,2,2
HIPP,1.15397267320392,2,3
HIPP,1.13750755431642,2,4
HIPP,1.11215355371461,2,5
HIPP,1.11934942487754,2,6
HIPP,1.06818558663221,2,7
HIPP,1.08948349906073,2,8
HIPP,1.08488802791397,2,9
HIPP,1.08516046186677,3,1
HIPP,1.06755875342399,3,2
HIPP,1.06637841540892,3,3
HIPP,1.12185399142202,3,4
HIPP,0.628218645021446,4,1
HIPP,0.478000293010474,4,2
HIPP,0.607261389559168,4,3
HIPP,0.458238772711836,4,4
HIPP,0.509280891565454,4,5
HIPP,0.807405904294883,4,6
HIPP,0.715097709377356,4,7
HIPP,0.634333462472677,4,8
HIPP,0.555852516334899,4,9
HIPP,0.967282234312729,5,1
HIPP,1.03238312427627,5,2
HIPP,0.935744480646543,5,3
HIPP,0.933078696837221,5,4
HIPP,0.939783897636073,5,5
HIPP,1.24649471807866,5,6
HIPP,1.29736895663528,5,7
HIPP,1.2139887876966,5,8
HIPP,1.21105380455597,5,9
HIPP,1.21431521024081,5,10
HIPP,1.09055844993056,5,11
HIPP,1.14449926571544,5,12
HIPP,1.06616896463923,5,13
HIPP,1.06047884735119,5,14
HIPP,1.05848961662319,5,15
HIPP,1.19130609824288,6,1
HIPP,1.18627518718772,6,2
HIPP,1.07437886530313,6,3
HIPP,1.33588419865828,6,4
HIPP,1.29443721454061,6,5
HIPP,1.15173244530962,6,6
HIPP,1.24942865980209,7,1
HIPP,1.16578315366939,7,2
HIPP,1.30677249060089,7,3
HIPP,1.21892616894973,7,4
HIPP,1.15186008335676,7,5
HIPP,1.25658326432674,7,6
HIPP,1.20047862578548,7,7
HIPP,1.12947530222077,7,8
HIPP,1.23992894756598,7,9
HIPP,1.23286560850858,7,10
HIPP,1.15967786923756,7,11
HIPP,1.27733086240934,7,12
HIPP,1.21361046389812,7,13
HIPP,1.12186339942388,7,14
HIPP,1.29967706847516,7,15
HIPP,1.26541982654432,7,16
HIPP,1.16315997079673,7,17
HIPP,1.31277987907352,7,18
HIPP,1.22357048157539,7,19
HIPP,1.11996423192852,7,20
HIPP,1.29654791485369,7,21
HIPP,1.02697311409001,8,1
HIPP,1.11125234468275,8,2
HIPP,1.0788369369849,8,3
HIPP,1.13716558051437,8,4
HIPP,1.14508933239243,8,5
HIPP,1.02895194631716,8,6
HIPP,1.14496832020869,8,7
HIPP,1.11191395849702,8,8
HIPP,1.18655657090568,8,9
HIPP,1.21229967095147,8,10
HIPP,1.00540040044445,8,11
HIPP,1.14944945023177,8,12
HIPP,1.08711279011341,8,13
HIPP,1.18138783005107,8,14
HIPP,1.22617141763121,8,15
HIPP,1.04526448430734,8,16
HIPP,1.18854334360681,8,17
HIPP,1.12211260172208,8,18
HIPP,1.22720476664724,8,19
HIPP,1.26825911242934,8,20
HIPP,0.989858605821459,8,21
HIPP,1.13742668141801,8,22
HIPP,1.07817002151411,8,23
HIPP,1.17977987000123,8,24
HIPP,1.2240748053363,8,25
HIPP,0.999320917285671,8,26
HIPP,1.1286030773827,8,27
HIPP,1.0778951583695,8,28
HIPP,1.15893711796248,8,29
HIPP,1.1896220395198,8,30
HIPP,1.01243045761622,8,31
HIPP,1.17543216241699,8,32
HIPP,1.09625282124315,8,33
HIPP,1.20487617277403,8,34
HIPP,1.23744313859575,8,35
HIPP,0.973085116996631,9,1
HIPP,1.00707940717438,9,2
HIPP,0.954661779088582,9,3
HIPP,1.11788400096567,9,4
HIPP,1.11032993148438,9,5
HIPP,1.10660784457963,9,6
HIPP,1.16707333179162,9,7
HIPP,1.13415978304196,9,8
HIPP,1.2054443011411,10,1
HIPP,1.17565864376964,10,2
HIPP,1.24210431070734,10,3
HIPP,1.26879246537755,10,4
HIPP,1.24009028839035,10,5
