Condition,Power,Subject,Pair
IPL,-0.00242964627677326,1,1
IPL,-0.385172942570789,2,1
IPL,0.0663280845604186,3,1
IPL,-0.00992339391837111,4,1
IPL,-0.000920095945509733,4,2
IPL,-0.0029615288092554,5,1
IPL,-0.00352903444204828,5,2
IPL,-0.00450121018905922,5,3
IPL,-0.0492281024993062,6,1
IPL,-0.00152498894723579,6,2
IPL,-0.034883856465758,7,1
IPL,0.0318445245055828,7,2
IPL,0.0466107626691461,7,3
IPL,0.0353417688502509,7,4
IPL,0.0649694383004469,8,1
IPL,0.0423596561289963,8,2
IPL,0.08407864007722,8,3
IPL,-0.125921996069375,9,1
IPL,-0.0294902407335952,10,1
IPL,-0.037008195192204,10,2
IPL,0.00944232141531077,10,3
IPL,0.0684806505669056,11,1
IPL,0.10624208116716,11,2
IPL,0.0434936176696586,11,3
IPL,0.215424438952266,11,4
IPL,0.124255222035825,11,5
IPL,-0.00194167222271165,11,6
IPL,-0.0903776525655328,12,1
IPL,0.0215111140917883,13,1
IPL,0.0447617799878412,13,2
IPL,0.0241847341134035,13,3
HIPP,-0.00379222136403852,1,1
HIPP,-0.0143787465635226,1,2
HIPP,-0.0131281713846442,2,1
HIPP,-0.00639546669374096,2,2
HIPP,-0.0489075527219716,2,3
HIPP,0.00582487529021814,3,1
HIPP,-0.0237876003911892,4,1
HIPP,-0.0024523219732358,5,1
HIPP,-0.00902073675452898,5,2
HIPP,-0.0122969856569664,5,3
HIPP,-0.0541763528681649,5,4
HIPP,-0.017441369130902,5,5
HIPP,-0.0149968113468627,5,6
HIPP,0.0293857127235371,5,7
HIPP,0.00736308490843027,6,1
HIPP,-0.00591164110584275,6,2
HIPP,-0.0143276851947869,6,3
HIPP,0.0110796077237571,6,4
HIPP,-0.0103001564018759,6,5
HIPP,0.00643215791312584,7,1
HIPP,-0.00945891183815423,7,2
HIPP,-0.0102895503229548,7,3
HIPP,-0.00387681161292767,7,4
HIPP,0.0184046792011413,7,5
HIPP,0.00223516514219398,7,6
HIPP,0.023744751141344,7,7
HIPP,0.00664573878061772,7,8
HIPP,-0.00685558235782112,7,9
HIPP,-0.0670450684374565,8,1
HIPP,-0.0151347802275555,8,2
HIPP,0.0179621495943783,8,3
HIPP,0.00337155533902561,8,4
HIPP,-0.0235253905242915,9,1
HIPP,-0.041138359245095,10,1
HIPP,-0.0242603601131342,10,2
HIPP,-0.0549846651702455,10,3
HIPP,0.0282022214236745,10,4
HIPP,0.0175629744419678,10,5
HIPP,0.0083074457473776,11,1
HIPP,-0.0098556490181707,11,2
HIPP,0.0233519089329471,11,3
HIPP,0.00273524618218965,11,4
HIPP,-0.0256467521842989,12,1
HIPP,0.023595168459721,12,2
HIPP,-0.0213432612552162,12,3
HIPP,0.0123890650642444,13,1
HIPP,0.0425626700889564,13,2
HIPP,0.0426835292120263,13,3
HIPP,-0.0163440176886785,14,1
HIPP,-0.0155790444344949,15,1
HIPP,-0.0158651227749891,15,2
HIPP,-0.0169881033982913,15,3
HIPP,-0.0184666315661817,15,4
HIPP,-0.0485278642355015,15,5
HIPP,0.0146100884232475,16,1
HIPP,-0.00642217851740669,17,1
HIPP,-0.00517421781455625,17,2
HIPP,-0.0192614885420774,17,3
HIPP,-0.0218595103414378,17,4
HIPP,-0.00564905502610205,17,5
HIPP,0.0374633979145519,17,6
HIPP,0.0506392805981728,17,7
HIPP,0.0406582124536164,17,8
HIPP,-0.00983801920705935,17,9
HIPP,0.0243323508801251,17,10
HIPP,-0.00374342986295951,17,11
HIPP,0.000414437812024028,18,1
HIPP,-0.0101788131246048,18,2
HIPP,0.00499658981249778,18,3
HIPP,-0.0256429698831459,18,4
HIPP,-0.0600507640200858,18,5
HIPP,-0.0117923652940833,19,1
