Condition,Power,Subject,Pair
ITG,0.0670168615090932,1,1
ITG,0.0384831916128117,1,2
ITG,-0.212459611836989,2,1
ITG,-0.197642043844801,2,2
ITG,-0.00781510129398704,3,1
ITG,0.0223668792798209,4,1
ITG,0.0212763883943316,4,2
ITG,0.0123057745281374,5,1
ITG,0.0074233827118264,6,1
ITG,-0.00463411130565447,6,2
ITG,-0.0183000381870572,6,3
ITG,0.0155732223317263,6,4
ITG,-0.0244474466546459,6,5
ITG,-0.0390456336854636,6,6
ITG,0.0368663390056702,7,1
ITG,-0.0609446021343574,8,1
ITG,-0.0311591048906358,8,2
ITG,-0.0372203914467028,8,3
ITG,-0.0179297649163441,8,4
ITG,-0.00170222996090635,8,5
ITG,0.0209631671053139,8,6
ITG,0.00221468890095418,8,7
ITG,0.019757075141352,8,8
ITG,-0.026329593345081,8,9
ITG,-0.00183276178466152,8,10
ITG,0.0138858356179943,8,11
ITG,0.0281874464448953,8,12
ITG,0.00970702526500764,8,13
ITG,0.00170165670546608,8,14
ITG,0.0123900100963739,8,15
ITG,0.0703095206673736,8,16
ITG,-0.0061390179415709,9,1
ITG,0.103672510072633,9,2
ITG,-0.0340208796147301,9,3
ITG,-0.0418785939165719,9,4
ITG,-0.0129089252714534,9,5
ITG,-0.0436444917662796,9,6
ITG,-0.00727685714677626,9,7
ITG,-0.0170639379816135,10,1
ITG,-0.0263497025489599,10,2
ITG,-0.0713384993529564,10,3
ITG,-0.0621216492162524,10,4
ITG,0.0068058813917636,10,5
ITG,-0.0702389919857887,10,6
ITG,-0.3693234940443,11,1
ITG,-0.394854453658333,11,2
ITG,-0.18131193361583,11,3
ITG,-0.285724466229612,11,4
ITG,-0.202182907622663,11,5
ITG,-0.0411790669097703,11,6
ITG,-0.0913706443916922,11,7
ITG,0.031487005337146,12,1
ITG,0.0206359674960583,12,2
ITG,-0.0151175531876582,12,3
ITG,0.0291722114805947,13,1
ITG,0.0213164564820817,13,2
ITG,0.010410944158997,13,3
ITG,-0.0522818393666965,13,4
ITG,-0.00846478471363218,13,5
ITG,0.0170225853156961,13,6
ITG,0.00741506866006513,13,7
ITG,-0.0293212049669114,14,1
ITG,-0.0263243439195956,14,2
ITG,0.0585068273360031,15,1
ITG,-0.00579244795355159,15,2
ITG,0.0163280781240017,15,3
ITG,0.00405015307400299,15,4
ITG,0.0329310691375343,15,5
ITG,0.0136331344539253,15,6
ITG,0.0514681873116844,15,7
ITG,0.0738134431162051,15,8
ITG,0.0180877139749087,16,1
ITG,0.0177249348719446,16,2
ITG,-0.0418040591244919,16,3
ITG,-0.0416655726741348,16,4
ITG,-0.0476884451789461,17,1
ITG,0.0106706783674504,17,2
ITG,-0.0432862024667424,18,1
ITG,-0.0615576366921086,18,2
ITG,-0.0480920775415427,18,3
IPS,-0.0196843794009251,1,1
IPS,0.0893212168865439,1,2
IPS,0.056720757248925,1,3
IPS,0.0221457048840018,1,4
IPS,-0.178297097956873,2,1
IPS,0.125894681868989,2,2
IPS,-0.142363109439171,2,3
IPS,0.250453274529584,2,4
IPS,-0.155932241703535,2,5
IPS,0.0661056742057531,2,6
IPS,0.0476645194200933,2,7
IPS,0.0104792856175768,2,8
IPS,0.0706595100474693,2,9
IPS,0.0360487908849575,2,10
IPS,0.0566315780047387,2,11
IPS,0.124769236623501,2,12
IPS,-0.158144270468057,2,13
IPS,-0.142776907412741,2,14
IPS,-0.560808180705997,2,15
IPS,0.0842311431765104,2,16
IPS,-0.034194074412538,3,1
IPS,-0.014010995224584,3,2
IPS,-0.0477879073169039,3,3
IPS,-0.0231319106335538,3,4
IPS,-0.014641178874881,3,5
IPS,-0.0165112230773856,3,6
IPS,-0.0189053714383399,3,7
IPS,-0.0297951945456208,4,1
IPS,-0.0046415762813788,4,2
IPS,0.0185404411081231,4,3
IPS,-0.0166084697873669,4,4
IPS,0.0168225985764128,5,1
IPS,-0.00134102300459611,6,1
IPS,0.00996223471254781,6,2
IPS,0.00576759988465967,6,3
IPS,-0.0892803035466573,7,1
IPS,-0.092800562656639,7,2
IPS,-0.0541372067807948,7,3
IPS,-0.0501568591761372,7,4
IPS,-0.0823665059564185,7,5
IPS,-0.0579414526077282,7,6
IPS,-0.069395917939632,7,7
IPS,0.00411201737229822,8,1
IPS,0.0377377316496978,8,2
IPS,-0.0474665742631236,8,3
IPS,-0.045720377233883,8,4
IPS,-0.048644615668327,8,5
IPS,-0.0414251141195562,8,6
IPS,-0.0545602549179022,9,1
IPS,-0.0274028178370566,10,1
IPS,-0.0620689750473295,11,1
IPS,-0.0879412591507034,11,2
IPS,-0.0485148106306759,11,3
IPS,-0.0879032111805721,11,4
IPS,-0.0544751197848087,11,5
IPS,-0.0233682681222677,11,6
IPS,-0.0237001967394748,11,7
IPS,-0.0250308169852103,11,8
IPS,-0.095700195006674,11,9
IPS,0.0991314964624743,12,1
IPS,0.0627362356433162,12,2
IPS,0.0769637661368022,12,3
IPS,-0.0527066848343581,13,1
IPS,0.0246107475464173,13,2
IPS,-0.0139334596785099,14,1
IPS,0.19428295290457,14,2
IPS,-0.0334843540786435,14,3
IPS,0.107118690877469,14,4
IPS,0.010948919434489,14,5
IPS,0.023666343322383,14,6
IPS,0.0361121518422895,14,7
IPS,0.213105510482848,14,8
IPS,0.195688013127349,14,9
IPS,0.243706867153397,14,10
IPS,0.124563426443112,14,11
IPS,0.108287642299341,14,12
IPS,0.0297535309246204,14,13
IPS,0.0344651971550524,14,14
IPS,0.0212197866783972,14,15
IPS,0.188316228226667,14,16
IPS,0.134974371477853,14,17
IPS,0.026568237247108,14,18
IPS,-0.000699579680906482,14,19
IPS,-0.0298281811045955,14,20
IPS,-0.012236105846407,15,1
IPS,0.00590534494127495,15,2
IPS,-0.0549327254821952,16,1
IPS,-0.0456768373741924,16,2
IPS,-0.0110395248559203,16,3
IPS,-0.12235110717214,16,4
IPS,-0.0967797334247217,16,5
IPS,-0.056597505788764,16,6
IPS,-0.0263825607468691,16,7
IPS,0.0362793682895992,17,1
IPS,0.0369586751433818,17,2
IPS,0.0359449445268456,17,3
IPS,0.0315658040149723,17,4
IPS,0.0584798401336567,17,5
IPS,0.00187336909049048,17,6
IPS,-0.0301874256992246,17,7
IPS,-0.0322487771125053,17,8
IPS,0.0791195206592634,17,9
IPS,0.114739576074588,17,10
IPS,0.0100578816554744,17,11
IPS,0.00107378617282364,17,12
IPS,0.00052004591418865,17,13
IPS,0.0168415776383224,17,14
IPS,0.0180431520361541,18,1
IPS,-0.0134412497435022,18,2
IPS,-0.0332482490237668,18,3
IPS,0.00825440299611641,18,4
IPS,-0.0221965024838197,18,5
IPS,-0.0321188356281543,18,6
IPS,-0.0671088952935942,18,7
IPS,-0.041393843442699,19,1
IPS,-0.0106621671832202,19,2
IPS,-0.024914175955792,19,3
IPS,-0.0130857552731126,19,4
IPS,-0.0168871350144063,19,5
IPS,-0.0438028078383813,19,6
IPS,0.0298253756020306,19,7
IPS,0.0677979923633825,19,8
IPS,-0.0468423059960987,20,1
