Condition,Power,Subject,Pair
Math,-0.00277309618057349,1,1
Math,0.0291592445217702,1,2
Math,-0.0184267757924145,1,3
Math,-0.00229956127522691,1,4
Math,-0.0121653987856608,2,1
Math,0.158619686277941,2,2
Math,-0.072251649752621,2,3
Math,0.00346782686087641,2,4
Math,-0.140991111048736,2,5
Math,0.0822348420708516,2,6
Math,0.0499097043745635,2,7
Math,-0.00388454315471205,2,8
Math,0.154321498649066,2,9
Math,-0.110944993927034,2,10
Math,-0.0601207006852675,2,11
Math,0.020175948958656,2,12
Math,0.0954888295072746,2,13
Math,0.125579633990811,2,14
Math,-0.092854252601956,2,15
Math,-0.0640227855967827,2,16
Math,0.0145697123092034,3,1
Math,0.0491222212983723,3,2
Math,0.0327928171254829,3,3
Math,0.00999424031015401,3,4
Math,0.0153257885649009,3,5
Math,0.0102165052457184,3,6
Math,0.0103967975134208,3,7
Math,-0.0358374613641775,4,1
Math,0.0180084179573064,4,2
Math,0.0463455785011832,4,3
Math,-0.0162683529696293,4,4
Math,-0.00899409935140486,5,1
Math,-0.0165831884959297,6,1
Math,0.0511855250249731,6,2
Math,-0.016277874795866,6,3
Math,0.0188454967046034,7,1
Math,0.00340212922039619,7,2
Math,0.00122690751688583,7,3
Math,-0.00918183537469449,7,4
Math,-0.0267832685055588,7,5
Math,-0.0216068741454758,7,6
Math,-0.0235642604709489,7,7
Math,-0.00990663613653767,8,1
Math,0.00712850834670987,8,2
Math,0.00805166740038422,8,3
Math,-0.00354972340129444,8,4
Math,-0.0030014121261128,8,5
Math,-0.00269330590167837,8,6
Math,-0.048381987658579,9,1
Math,-0.0235938772491399,10,1
Math,-0.0013952151573079,11,1
Math,-0.08328460601087,11,2
Math,-0.0177570194274671,11,3
Math,-0.0712974443463485,11,4
Math,0.0187051762443473,11,5
Math,0.00660103003962627,11,6
Math,0.0128686669742293,11,7
Math,-0.0540840369567722,11,8
Math,0.0380744881016899,11,9
Math,0.00490706347416481,12,1
Math,0.00864763487304979,12,2
Math,0.0171602212866319,12,3
Math,-0.0211500599451957,13,1
Math,0.0106953301200983,13,2
Math,-0.0205869385361285,14,1
Math,0.0565522033403022,14,2
Math,-0.0962335544099369,14,3
Math,-0.0331130999589345,14,4
Math,-0.05329171213357,14,5
Math,-0.0440698973957841,14,6
Math,-0.0143466052246268,14,7
Math,0.0526259991219862,14,8
Math,0.0469562268157524,14,9
Math,0.0731660608153674,14,10
Math,0.00388378953995861,14,11
Math,0.00139824383207907,14,12
Math,-0.0163825537186911,14,13
Math,0.0010409575560564,14,14
Math,-0.00266881891815108,14,15
Math,0.0519384321057649,14,16
Math,0.0261713781428936,14,17
Math,0.0195146747062359,14,18
Math,-0.00675006171246223,14,19
Math,-0.0463377717603682,14,20
Math,0.00117864545498132,15,1
Math,-0.0145442868264848,15,2
Math,-0.0470238307321058,16,1
Math,-0.0152124044902897,16,2
Math,-0.0203909729851987,16,3
Math,0.0648876891405939,16,4
Math,0.0165085135057155,16,5
Math,0.0127330009188946,16,6
Math,-0.0113008910570422,16,7
Math,0.00747584403354428,17,1
Math,0.00201081348032874,17,2
Math,-0.0107458560289046,17,3
Math,0.0113564284002585,17,4
Math,0.0181016663142016,17,5
Math,-0.00338344558585936,17,6
Math,-0.0182611333188698,17,7
Math,-0.0187002251410562,17,8
Math,0.0632808931253624,17,9
Math,0.0817496086281166,17,10
Math,-0.0194943730586632,17,11
Math,-0.017093889409834,17,12
Math,0.00206855069914319,17,13
Math,0.0188618153163042,17,14
Math,0.00280747290494823,18,1
Math,-0.0127466185239635,18,2
Math,-0.0614058754275528,18,3
Math,-0.00555911648537584,18,4
Math,-0.00594030467472735,18,5
Math,-0.0218101674704856,18,6
Math,-0.054557048319083,18,7
Math,-0.0143833215296571,19,1
Math,-0.0317328781102574,19,2
Math,-0.0288948216187162,19,3
Math,-0.0718785750382498,19,4
Math,-0.095944092580256,19,5
Math,-0.00180424331951332,19,6
Math,-0.0407666005300963,19,7
Math,-0.0220649826735626,19,8
Math,-0.055831375751159,20,1
Recall,-0.0124740937252599,1,1
Recall,-0.0531643955132991,1,2
Recall,-0.00977855254342235,1,3
Recall,0.00551007426792235,1,4
Recall,-0.0243266951819279,2,1
Recall,0.0375591571803759,2,2
Recall,-0.0214665412849586,2,3
Recall,-0.011789485762913,2,4
Recall,0.0670026585485819,2,5
Recall,0.0460994137436246,2,6
Recall,-0.0590892276484199,2,7
Recall,-0.0300345657500688,2,8
Recall,-0.0475164414214857,2,9
Recall,-0.0461257765477112,2,10
Recall,0.0857847719044476,2,11
Recall,-0.0433838379337426,2,12
Recall,0.0962842213667057,2,13
Recall,0.0249099635240083,2,14
Recall,0.0973017473388958,2,15
Recall,0.105174775023519,2,16
Recall,-0.024950378096748,3,1
Recall,0.00519232304605969,3,2
Recall,-0.0118071253070787,3,3
Recall,-0.0140312114347259,3,4
Recall,-0.0112291666530022,3,5
Recall,-0.00208829609661947,3,6
Recall,-0.00760102168447208,3,7
Recall,-0.0844251826064359,4,1
Recall,-0.0269138469742684,4,2
Recall,-0.0411478957081566,4,3
Recall,-0.0172278671149514,4,4
Recall,-0.00822398408004953,4,5
Recall,0.0160847145711188,4,6
Recall,-0.00659005816207768,4,7
Recall,0.0111977465198317,4,8
Recall,0.017451503246961,4,9
Recall,0.00232527788832843,4,10
Recall,-0.00585750089930726,4,11
Recall,0.00616880291863322,5,1
Recall,0.0174300793739973,5,2
Recall,0.00829799916402285,5,3
Recall,-0.00925767388544759,5,4
Recall,-0.0176081272629013,6,1
Recall,0.0049774505837746,7,1
Recall,0.0108848415089649,7,2
Recall,-0.00731984699440017,7,3
Recall,0.0272439830143562,8,1
Recall,0.0337915772193138,8,2
Recall,0.0120033697344953,8,3
Recall,0.0569435030819443,8,4
Recall,-0.0398234806304593,8,5
Recall,0.0288086379986451,8,6
Recall,-0.00465589725221064,8,7
Recall,0.00365162675924015,9,1
Recall,-0.0150165985178708,9,2
Recall,0.0505504737925756,9,3
Recall,0.054116218755397,9,4
Recall,-0.016485049699653,9,5
Recall,0.0062446198114283,9,6
Recall,0.0225662273848563,10,1
Recall,-0.00732559950778754,11,1
Recall,-0.0615220963642916,12,1
Recall,-0.00944422887174533,12,2
Recall,-0.0187760070038089,12,3
Recall,-0.0386348456555936,12,4
Recall,-0.0682580725777787,12,5
Recall,0.0207135340643285,12,6
Recall,-0.0397772553136479,12,7
Recall,-0.0216961974005172,12,8
Recall,-0.000186552175111135,12,9
Recall,0.0312143969220585,13,1
Recall,-0.00199763091047381,13,2
Recall,-0.0279860388595407,13,3
Recall,-0.0192828966107426,14,1
Recall,-0.00848807206125565,14,2
Recall,0.0240540819605323,15,1
Recall,-0.00464157097803929,15,2
Recall,0.0347754519155359,15,3
Recall,0.0136402703172061,15,4
Recall,0.00918822433430729,15,5
Recall,0.0232163599530496,15,6
Recall,0.00562925100088925,15,7
Recall,-0.00865072672517143,15,8
Recall,-0.00938244809652715,15,9
Recall,-0.0162811372918258,15,10
Recall,0.00607667334178743,15,11
Recall,0.0159450528005137,15,12
Recall,-0.024264859873658,15,13
Recall,0.0291258361552085,15,14
Recall,0.0179357004817775,15,15
Recall,-0.00647217935018362,15,16
Recall,-0.00467686451862546,15,17
Recall,-0.0134587223019708,15,18
Recall,-0.0126525226473504,15,19
Recall,0.0140542510133541,15,20
Recall,0.0146021013292266,16,1
Recall,-0.0146402966287213,16,2
Recall,0.00905587251919356,17,1
Recall,0.0443024330725459,17,2
Recall,0.0275765480629462,17,3
Recall,-0.00858653303609657,17,4
Recall,-0.0370258996272167,17,5
Recall,-0.00525513778828655,17,6
Recall,0.00171216571824626,17,7
Recall,-0.0262166207659186,18,1
Recall,-0.00867293943530222,18,2
Recall,0.000651435272969016,18,3
Recall,0.00282087734054062,18,4
Recall,0.0259840288227785,18,5
Recall,-0.0549978541527107,18,6
Recall,-0.00258092682312584,18,7
Recall,0.0155671037051895,18,8
Recall,-0.0042143468066717,18,9
Recall,0.0332511683013804,18,10
Recall,-0.00939194306133771,18,11
Recall,-0.00466611138165009,18,12
Recall,-0.00285689418585381,18,13
Recall,0.0110177797701592,18,14
Recall,-0.0538549629419268,19,1
Recall,-0.0384181100782211,19,2
Recall,0.00735786476703641,19,3
Recall,0.00297867693056853,19,4
Recall,0.00446921542559148,19,5
Recall,0.00938515082119925,19,6
Recall,-0.0327785093257619,19,7
Recall,0.00108973059814043,20,1
Recall,0.00160457175567929,20,2
Recall,-0.0284663838270146,20,3
Recall,0.00203699734020196,20,4
Recall,0.0094641410266095,20,5
Recall,0.0346083400139612,20,6
Recall,-0.00429422055310483,20,7
Recall,0.0118115446195684,20,8
Recall,0.00820594535064497,21,1
