Condition,Power,Subject,Pair
Rest,-0.00371771266326339,1,1
Rest,-0.00222882838275601,1,2
Rest,0.0183093460913275,1,3
Rest,-0.00701439613906909,1,4
Rest,-0.00669704669032107,2,1
Rest,0.0255924918855719,2,2
Rest,0.0015009089714821,2,3
Rest,0.0110519108763727,2,4
Rest,-0.00546819561962556,2,5
Rest,-0.00648772773227869,2,6
Rest,0.00120826383295858,2,7
Rest,-7.55177621027133e-05,2,8
Rest,-0.0230992654570907,2,9
Rest,-0.021033656603702,2,10
Rest,-0.011066302891305,2,11
Rest,-0.0106062293599729,2,12
Rest,-0.00490162650795819,2,13
Rest,0.0196073933233718,2,14
Rest,-0.0141646340446702,2,15
Rest,0.00182819207827103,2,16
Rest,-0.00917579386785161,3,1
Rest,-0.00201253640431743,3,2
Rest,-0.00341726719983608,3,3
Rest,-0.00873991579036212,3,4
Rest,-0.00957709513576531,3,5
Rest,-0.0174744755302876,3,6
Rest,0.0121417548188363,3,7
Rest,-0.078894511057074,4,1
Rest,-0.0134070221624546,4,2
Rest,-0.0182145360014221,4,3
Rest,-0.0419156002188525,4,4
Rest,-0.00291451793093043,4,5
Rest,-0.00624197264946803,4,6
Rest,0.0037885753743113,4,7
Rest,0.0049493793732983,4,8
Rest,0.00445305979806977,4,9
Rest,-0.00414121361657217,4,10
Rest,0.0140083210845502,4,11
Rest,-0.0510436098537584,5,1
Rest,-0.00158556970207499,5,2
Rest,-0.00422233637035748,5,3
Rest,-0.00442252446036109,5,4
Rest,0.0069333677188815,6,1
Rest,0.0106712676245165,7,1
Rest,-0.000122457460726204,7,2
Rest,-0.00162924257589621,7,3
Rest,0.00236837194216658,8,1
Rest,0.00549095807482702,8,2
Rest,-0.0090695736655998,8,3
Rest,-0.0102217656962158,8,4
Rest,-0.00867317640103703,8,5
Rest,-0.0246553364423027,8,6
Rest,-0.0352442303451506,8,7
Rest,-0.00312324514348341,9,1
Rest,-0.00769639009417832,9,2
Rest,-0.0201230475058027,9,3
Rest,-0.0167328772365288,9,4
Rest,-0.0149391977610893,9,5
Rest,-0.0138382222222558,9,6
Rest,-0.00147674234261659,10,1
Rest,-0.00578476337049783,11,1
Rest,-0.0307840042119651,12,1
Rest,-0.06343297279133,12,2
Rest,-0.0252851630682418,12,3
Rest,-0.0641899829937436,12,4
Rest,-0.032212404729646,12,5
Rest,0.00773295787782981,12,6
Rest,0.00772393575260902,12,7
Rest,-0.0433904933808486,12,8
Rest,-0.0320193784814624,12,9
Rest,0.0227505407627719,13,1
Rest,0.0220250183733702,13,2
Rest,0.0382659827851235,13,3
Rest,0.000376816503803899,14,1
Rest,-0.0113216528547569,14,2
Rest,0.00420672282123297,15,1
Rest,0.0141065662411311,15,2
Rest,0.0128728532681729,15,3
Rest,-0.0167554525951952,15,4
Rest,9.03468800095841e-05,15,5
Rest,0.0185715011186281,15,6
Rest,-0.00391955854206672,15,7
Rest,-0.00552672009365678,15,8
Rest,-0.0189842908501199,15,9
Rest,-0.00671205405690459,15,10
Rest,0.0043716976596372,15,11
Rest,-0.0175909625298903,15,12
Rest,0.0351083827601503,15,13
Rest,0.0137312967688623,15,14
Rest,0.00954157008868384,15,15
Rest,-0.0203032312147828,15,16
Rest,-0.0191050389973544,15,17
Rest,0.000171458618529499,15,18
Rest,-0.0126400993711657,15,19
Rest,0.00852781930333687,15,20
Rest,-0.00683969740064955,16,1
Rest,0.00739804368696064,16,2
Rest,0.0158306643812579,17,1
Rest,0.00204855579298747,17,2
Rest,-0.0107370785629207,17,3
Rest,0.00307163737184194,17,4
Rest,-0.0201669186475964,17,5
Rest,-0.0204737938581799,17,6
Rest,-0.0145363478603558,17,7
Rest,0.0125208834088635,18,1
Rest,0.00921044156930569,18,2
Rest,0.0134916004066804,18,3
Rest,0.0156843313151844,18,4
Rest,0.00380451385381249,18,5
Rest,0.00503200481792564,18,6
Rest,-0.00420160686063456,18,7
Rest,0.00989669545850182,18,8
Rest,0.0115800800244614,18,9
Rest,0.00126308899772932,18,10
Rest,-0.0023932827058953,18,11
Rest,0.000907517650912248,18,12
Rest,0.000479057181164755,18,13
Rest,0.00931915263087279,18,14
Rest,0.00231544610213875,19,1
Rest,-0.016301238104835,19,2
Rest,-0.00209906524419839,19,3
Rest,0.00713491185291419,19,4
Rest,-0.00475865703542178,19,5
Rest,-0.0122714600840288,19,6
Rest,-0.00303325620745428,19,7
Rest,0.0003587134305757,20,1
Rest,-0.00230173046316538,20,2
Rest,-0.00260880040294122,20,3
Rest,-0.00455189612023693,20,4
Rest,-0.011091849638757,20,5
Rest,0.00974120171216563,20,6
Rest,0.0050306738187964,20,7
Rest,-0.00258793326847849,20,8
Rest,-0.00925128061518418,21,1
Recall,0.0299294216950592,1,1
Recall,0.0188384443207534,1,2
Recall,0.0246625412841174,1,3
Recall,0.0627865182821459,1,4
Recall,-0.00323798737320842,2,1
Recall,0.048200871300369,2,2
Recall,0.0257348516643668,2,3
Recall,0.0462118202870403,2,4
Recall,0.0639829876200465,2,5
Recall,0.00509955948454231,2,6
Recall,0.147543580340005,2,7
Recall,-0.00449022710766191,2,8
Recall,0.046873379464553,2,9
Recall,0.21686687908416,2,10
Recall,0.104185743624473,2,11
Recall,-0.0226100112564335,2,12
Recall,0.0860110646016833,2,13
Recall,-0.0813026494917933,2,14
Recall,0.0623237576145577,2,15
Recall,-0.0673326448369004,2,16
Recall,0.0146691208544434,3,1
Recall,0.00193261817176813,3,2
Recall,-0.0186472961275287,3,3
Recall,-0.00499778859031502,3,4
Recall,-0.0153448927592763,3,5
Recall,0.00770250165123816,3,6
Recall,0.0251243595970585,3,7
Recall,-0.127353925179845,4,1
Recall,0.0295869331566702,4,2
Recall,-0.00125099175948671,4,3
Recall,-0.0353505946499127,4,4
Recall,0.0601892416262477,4,5
Recall,0.0287945069659047,4,6
Recall,0.0113517560939612,4,7
Recall,0.0210298691725089,4,8
Recall,0.0563787519243683,4,9
Recall,0.033482042146331,4,10
Recall,0.0118045966314643,4,11
Recall,-0.0672597967202061,5,1
Recall,-0.00270763270133458,5,2
Recall,-0.0261872662208837,5,3
Recall,0.00516234927679799,5,4
Recall,-0.0215486503171466,6,1
Recall,-0.0583929947480858,7,1
Recall,0.0130396265846438,7,2
Recall,0.0177040711826678,7,3
Recall,0.0435384885884144,8,1
Recall,0.0476768431696126,8,2
Recall,0.042736166847974,8,3
Recall,0.0173984740687132,8,4
Recall,-0.0127073496180342,8,5
Recall,0.0724621960304597,8,6
Recall,0.0156352405254476,8,7
Recall,-0.0524059014357125,9,1
Recall,-0.0217058359821163,9,2
Recall,0.0764937407836777,9,3
Recall,0.102754969652692,9,4
Recall,-0.0423839535151171,9,5
Recall,-0.0178140239603349,9,6
Recall,-0.0132635105248792,10,1
Recall,0.0151230251130231,11,1
Recall,-0.0904562096953873,12,1
Recall,0.0290874686229514,12,2
Recall,0.0434635784144578,12,3
Recall,0.056213881480914,12,4
Recall,0.096472240497687,12,5
Recall,0.0170639900013537,12,6
Recall,0.0703979635911095,12,7
Recall,0.126141901572924,12,8
Recall,-0.0105817942102988,12,9
Recall,0.0141292754738841,13,1
Recall,0.0175259256622905,13,2
Recall,0.00137542581821967,13,3
Recall,-0.0174661141046642,14,1
Recall,-0.00696803581241742,14,2
Recall,-0.0371660178924684,15,1
Recall,-0.0656459374580078,15,2
Recall,0.062467366280943,15,3
Recall,0.00515354495472561,15,4
Recall,0.0618848843502881,15,5
Recall,0.0268033745000678,15,6
Recall,-0.0012534101277797,15,7
Recall,-0.0449582979390856,15,8
Recall,-0.0350939946592743,15,9
Recall,-0.0109129740732932,15,10
Recall,0.0184650527371585,15,11
Recall,-0.00773652002078646,15,12
Recall,0.00922441632983158,15,13
Recall,0.0225357376975008,15,14
Recall,0.00289339853679723,15,15
Recall,0.0190086224999169,15,16
Recall,0.0270618914069104,15,17
Recall,0.00805811489655524,15,18
Recall,0.0808267577929534,15,19
Recall,0.0178491392517384,15,20
Recall,0.000230706183665183,16,1
Recall,-0.00174975598259814,16,2
Recall,0.0222524117383033,17,1
Recall,0.0553323544472064,17,2
Recall,0.0158367105087948,17,3
Recall,0.00911113783220148,17,4
Recall,0.0757264382038322,17,5
Recall,0.0863491923496767,17,6
Recall,0.00250159612836068,17,7
Recall,0.0154748004850927,18,1
Recall,-0.0177936147242461,18,2
Recall,-0.0049580159373891,18,3
Recall,-0.0400276201503374,18,4
Recall,-0.0474944288336413,18,5
Recall,0.0310719449012801,18,6
Recall,0.00803925607749615,18,7
Recall,0.0471330651092342,18,8
Recall,-0.0310230404592579,18,9
Recall,0.0113327266456138,18,10
Recall,0.0206780873775175,18,11
Recall,0.0157012735536631,18,12
Recall,-0.00593252732558179,18,13
Recall,0.00663679034902764,18,14
Recall,-0.015305222189385,19,1
Recall,0.00454246077113399,19,2
Recall,-0.0201674843434502,19,3
Recall,0.00889893502903436,19,4
Recall,-0.000319497477151614,19,5
Recall,-0.00472711935942131,19,6
Recall,-0.0288721198105543,19,7
Recall,-0.0259194704398199,20,1
Recall,0.01652011754081,20,2
Recall,0.0147672926211586,20,3
Recall,-0.0144964856101773,20,4
Recall,-0.0205834298340036,20,5
Recall,-0.00666451634360028,20,6
Recall,0.0155515050052213,20,7
Recall,0.0261318308169207,20,8
Recall,0.00961705043792846,21,1
