Condition,Power,Subject,Pair
Rest,-0.00218695423026894,1,1
Rest,-0.0128691322815347,1,2
Rest,0.00652467896983705,1,3
Rest,-0.00767561434612496,1,4
Rest,-0.00680120562713271,2,1
Rest,0.0227203794736479,2,2
Rest,-0.0169910429144826,2,3
Rest,0.00212089877905994,2,4
Rest,-0.0102986224078082,2,5
Rest,-0.0120017451961229,2,6
Rest,0.00362884477741418,2,7
Rest,-0.00437738116970872,2,8
Rest,-0.0133961713570046,2,9
Rest,-0.00203365384443199,2,10
Rest,-0.00266750248077796,2,11
Rest,-0.0186973240497257,2,12
Rest,-0.00939301122051216,2,13
Rest,0.0205741295044534,2,14
Rest,0.0017735116241366,2,15
Rest,0.00536948447139251,2,16
Rest,-0.00319202915639036,3,1
Rest,-0.00555155195233193,3,2
Rest,0.000540223654207565,3,3
Rest,-0.00124925387932792,3,4
Rest,0.0019305388711698,3,5
Rest,-0.00313445740417397,3,6
Rest,-0.00197190447621539,3,7
Rest,-0.0562949120024147,4,1
Rest,-0.0382458797012979,4,2
Rest,-0.0374783580110241,4,3
Rest,-0.0207296189237293,4,4
Rest,-0.00732196756863695,4,5
Rest,-0.0014352419646461,4,6
Rest,0.0076274419154725,4,7
Rest,0.0255652634564234,4,8
Rest,0.0138426501967941,4,9
Rest,0.00913681304961038,4,10
Rest,0.00852664268353914,4,11
Rest,-0.0075962194048916,5,1
Rest,0.0023668291220103,5,2
Rest,0.0145397266629119,5,3
Rest,-0.00449625652111446,5,4
Rest,0.000485794418881874,6,1
Rest,0.00837254300414177,7,1
Rest,0.00321094432615785,7,2
Rest,-0.00331542126423946,7,3
Rest,-0.00284224858790246,8,1
Rest,-0.0045147610869441,8,2
Rest,-0.00953936446802313,8,3
Rest,0.00484416374818139,8,4
Rest,-0.00276413604178486,8,5
Rest,-0.0177572301001527,8,6
Rest,-0.022312716141244,8,7
Rest,0.00317115544617904,9,1
Rest,0.0066175081420544,9,2
Rest,-0.00247990444748279,9,3
Rest,-0.00637710349165294,9,4
Rest,-0.00631260694711001,9,5
Rest,0.00396042907298503,9,6
Rest,0.000369325148325834,10,1
Rest,0.00276091289256625,11,1
Rest,-0.00157669575853169,12,1
Rest,0.00513115703968075,12,2
Rest,0.000821985716870934,12,3
Rest,0.00237336704206309,12,4
Rest,-0.00236801207341309,12,5
Rest,-0.00880147551230646,12,6
Rest,-0.000801594711311858,12,7
Rest,-0.00777226977260941,12,8
Rest,0.0066994855353295,12,9
Rest,-0.00398328743055948,13,1
Rest,-0.00530161478980993,13,2
Rest,0.00231534063658908,13,3
Rest,-0.00627121461095291,14,1
Rest,-0.00301890329238335,14,2
Rest,-0.00347571073746673,15,1
Rest,-0.00765452972435994,15,2
Rest,-0.00497981956707657,15,3
Rest,0.00394848884471108,15,4
Rest,0.00768737920901475,15,5
Rest,0.00727045288480203,15,6
Rest,0.0102723225974497,15,7
Rest,-0.0112719706392773,15,8
Rest,-0.00217841968567598,15,9
Rest,-0.00323667454645442,15,10
Rest,0.0199309167880415,15,11
Rest,0.00163576151445923,15,12
Rest,0.0137930047668299,15,13
Rest,0.00193783084858409,15,14
Rest,0.00567753664830578,15,15
Rest,0.00373017620413346,15,16
Rest,-0.012394706294025,15,17
Rest,0.000651793793451656,15,18
Rest,0.00647558377745752,15,19
Rest,0.00246025108903061,15,20
Rest,-0.010874278072831,16,1
Rest,-0.00288215535425116,16,2
Rest,0.0097750901814797,17,1
Rest,-0.00419792453541309,17,2
Rest,-0.0332198307751908,17,3
Rest,-0.00714943774299071,17,4
Rest,-2.70015098462206e-05,17,5
Rest,-0.00589404822810655,17,6
Rest,0.0244277591745343,17,7
Rest,0.000707740212851925,18,1
Rest,-0.00213492354425328,18,2
Rest,0.00589262974239535,18,3
Rest,0.00176668477251108,18,4
Rest,-0.0125648654929908,18,5
Rest,0.00354448900835397,18,6
Rest,-0.00881643894845981,18,7
Rest,-0.00427252965609072,18,8
Rest,0.00435733418617148,18,9
Rest,0.00610891719859067,18,10
Rest,-0.00522389902955972,18,11
Rest,-0.00259524012782452,18,12
Rest,-0.00615044177287428,18,13
Rest,0.000496560741019837,18,14
Rest,-0.00309614964222412,19,1
Rest,-4.16634333487295e-05,19,2
Rest,-0.0061398451062149,19,3
Rest,-0.00606180117843749,19,4
Rest,-0.00730137374327948,19,5
Rest,0.000647510705522799,19,6
Rest,-0.0272396659482539,19,7
Rest,0.00133657817314638,20,1
Rest,-0.00185574825054347,20,2
Rest,-0.00132903321294739,20,3
Rest,0.00582872317230577,20,4
Rest,0.00476929304997337,20,5
Rest,0.00200033722535207,20,6
Rest,0.000199256640353593,20,7
Rest,0.00658600115438254,20,8
Rest,-0.00465758026606699,21,1
Recall,-0.0124740937252599,1,1
Recall,-0.0531643955132991,1,2
Recall,-0.00977855254342235,1,3
Recall,0.00551007426792235,1,4
Recall,-0.0243266951819279,2,1
Recall,0.0375591571803759,2,2
Recall,-0.0214665412849586,2,3
Recall,-0.011789485762913,2,4
Recall,0.0670026585485819,2,5
Recall,0.0460994137436246,2,6
Recall,-0.0590892276484199,2,7
Recall,-0.0300345657500688,2,8
Recall,-0.0475164414214857,2,9
Recall,-0.0461257765477112,2,10
Recall,0.0857847719044476,2,11
Recall,-0.0433838379337426,2,12
Recall,0.0962842213667057,2,13
Recall,0.0249099635240083,2,14
Recall,0.0973017473388958,2,15
Recall,0.105174775023519,2,16
Recall,-0.024950378096748,3,1
Recall,0.00519232304605969,3,2
Recall,-0.0118071253070787,3,3
Recall,-0.0140312114347259,3,4
Recall,-0.0112291666530022,3,5
Recall,-0.00208829609661947,3,6
Recall,-0.00760102168447208,3,7
Recall,-0.0844251826064359,4,1
Recall,-0.0269138469742684,4,2
Recall,-0.0411478957081566,4,3
Recall,-0.0172278671149514,4,4
Recall,-0.00822398408004953,4,5
Recall,0.0160847145711188,4,6
Recall,-0.00659005816207768,4,7
Recall,0.0111977465198317,4,8
Recall,0.017451503246961,4,9
Recall,0.00232527788832843,4,10
Recall,-0.00585750089930726,4,11
Recall,0.00616880291863322,5,1
Recall,0.0174300793739973,5,2
Recall,0.00829799916402285,5,3
Recall,-0.00925767388544759,5,4
Recall,-0.0176081272629013,6,1
Recall,0.0049774505837746,7,1
Recall,0.0108848415089649,7,2
Recall,-0.00731984699440017,7,3
Recall,0.0272439830143562,8,1
Recall,0.0337915772193138,8,2
Recall,0.0120033697344953,8,3
Recall,0.0569435030819443,8,4
Recall,-0.0398234806304593,8,5
Recall,0.0288086379986451,8,6
Recall,-0.00465589725221064,8,7
Recall,0.00365162675924015,9,1
Recall,-0.0150165985178708,9,2
Recall,0.0505504737925756,9,3
Recall,0.054116218755397,9,4
Recall,-0.016485049699653,9,5
Recall,0.0062446198114283,9,6
Recall,0.0225662273848563,10,1
Recall,-0.00732559950778754,11,1
Recall,-0.0615220963642916,12,1
Recall,-0.00944422887174533,12,2
Recall,-0.0187760070038089,12,3
Recall,-0.0386348456555936,12,4
Recall,-0.0682580725777787,12,5
Recall,0.0207135340643285,12,6
Recall,-0.0397772553136479,12,7
Recall,-0.0216961974005172,12,8
Recall,-0.000186552175111135,12,9
Recall,0.0312143969220585,13,1
Recall,-0.00199763091047381,13,2
Recall,-0.0279860388595407,13,3
Recall,-0.0192828966107426,14,1
Recall,-0.00848807206125565,14,2
Recall,0.0240540819605323,15,1
Recall,-0.00464157097803929,15,2
Recall,0.0347754519155359,15,3
Recall,0.0136402703172061,15,4
Recall,0.00918822433430729,15,5
Recall,0.0232163599530496,15,6
Recall,0.00562925100088925,15,7
Recall,-0.00865072672517143,15,8
Recall,-0.00938244809652715,15,9
Recall,-0.0162811372918258,15,10
Recall,0.00607667334178743,15,11
Recall,0.0159450528005137,15,12
Recall,-0.024264859873658,15,13
Recall,0.0291258361552085,15,14
Recall,0.0179357004817775,15,15
Recall,-0.00647217935018362,15,16
Recall,-0.00467686451862546,15,17
Recall,-0.0134587223019708,15,18
Recall,-0.0126525226473504,15,19
Recall,0.0140542510133541,15,20
Recall,0.0146021013292266,16,1
Recall,-0.0146402966287213,16,2
Recall,0.00905587251919356,17,1
Recall,0.0443024330725459,17,2
Recall,0.0275765480629462,17,3
Recall,-0.00858653303609657,17,4
Recall,-0.0370258996272167,17,5
Recall,-0.00525513778828655,17,6
Recall,0.00171216571824626,17,7
Recall,-0.0262166207659186,18,1
Recall,-0.00867293943530222,18,2
Recall,0.000651435272969016,18,3
Recall,0.00282087734054062,18,4
Recall,0.0259840288227785,18,5
Recall,-0.0549978541527107,18,6
Recall,-0.00258092682312584,18,7
Recall,0.0155671037051895,18,8
Recall,-0.0042143468066717,18,9
Recall,0.0332511683013804,18,10
Recall,-0.00939194306133771,18,11
Recall,-0.00466611138165009,18,12
Recall,-0.00285689418585381,18,13
Recall,0.0110177797701592,18,14
Recall,-0.0538549629419268,19,1
Recall,-0.0384181100782211,19,2
Recall,0.00735786476703641,19,3
Recall,0.00297867693056853,19,4
Recall,0.00446921542559148,19,5
Recall,0.00938515082119925,19,6
Recall,-0.0327785093257619,19,7
Recall,0.00108973059814043,20,1
Recall,0.00160457175567929,20,2
Recall,-0.0284663838270146,20,3
Recall,0.00203699734020196,20,4
Recall,0.0094641410266095,20,5
Recall,0.0346083400139612,20,6
Recall,-0.00429422055310483,20,7
Recall,0.0118115446195684,20,8
Recall,0.00820594535064497,21,1
