Condition,Power,Subject,Pair
FG,0.0549177042771897,1,1
FG,-0.012986629032942,1,2
FG,-0.0284708570147598,2,1
FG,-0.0397321945820376,3,1
FG,-0.0093189943064821,3,2
FG,-0.0044097013878066,3,3
FG,0.00977976309297743,4,1
FG,0.018850409638894,4,2
FG,0.00838591676051299,5,1
FG,-0.0223040451800386,5,2
FG,0.0325218669590974,5,3
FG,0.008359095560674,6,1
FG,-0.0018844600632524,6,2
FG,0.0101125474245434,6,3
FG,-0.00156079998875873,6,4
FG,0.00649074879265208,6,5
FG,0.00195415596605451,7,1
FG,0.00307176213465142,7,2
FG,-0.0371986151923982,7,3
FG,-0.0384137375418871,7,4
FG,0.00557016420572599,7,5
FG,-0.01058326030725,7,6
FG,-0.0513875708729134,7,7
FG,0.0548389035260921,7,8
FG,-0.0341886632130212,7,9
FG,0.0226427126291002,7,10
FG,-0.0110590751430295,7,11
FG,0.00803085687795403,8,1
FG,0.00166825363972669,8,2
FG,0.00517258961780971,8,3
FG,-0.00467953373096913,8,4
FG,0.000296210856265188,8,5
FG,-0.00128639059594496,8,6
FG,0.0172424384970975,9,1
FG,-0.0475810076175763,9,2
FG,-0.0108167543645879,9,3
FG,-0.00381639434314512,9,4
FG,0.0141305427394594,9,5
FG,0.0275052682976818,9,6
FG,0.0286442527711,9,7
FG,-0.0245051615989767,10,1
FG,-0.0200126262094529,10,2
FG,0.0266349943489332,10,3
FG,0.00285396981718565,10,4
FG,0.0566945552784884,11,1
FG,-0.0138735309895673,12,1
FG,0.00516971705608783,12,2
FG,-0.00440673907848472,12,3
FG,-0.00767488951538489,12,4
FG,-0.00192602990603803,13,1
FG,0.00496645411496617,13,2
FG,0.00557154164668662,13,3
FG,0.00149414926814021,13,4
FG,0.0113813247173369,13,5
FG,-0.0127898184895721,14,1
FG,-0.0161456752931835,15,1
IPL,-0.00195972790456108,1,1
IPL,-0.0444514923171396,2,1
IPL,0.00852684722157378,3,1
IPL,-0.0265639544127794,4,1
IPL,-0.0325229902978924,4,2
IPL,-0.000173249651380556,5,1
IPL,0.0100741116140081,5,2
IPL,0.00291307564165756,5,3
IPL,0.0438585233111008,6,1
IPL,-0.00657324385026079,6,2
IPL,-0.0145899609186305,7,1
IPL,0.0166404605917984,7,2
IPL,0.0364827961489371,7,3
IPL,0.0142967667314966,7,4
IPL,-0.00293139821324226,8,1
IPL,0.00723525855398072,8,2
IPL,-0.00561993976706076,8,3
IPL,0.0101119628752858,9,1
IPL,-0.0510107047096474,10,1
IPL,-0.0126840849330283,10,2
IPL,-0.065571664193581,10,3
IPL,-0.0181713516943297,11,1
IPL,-0.00814747298848665,11,2
IPL,0.0024815639759873,11,3
IPL,0.0265204560028496,11,4
IPL,0.0252148204900081,11,5
IPL,-0.00561817935798402,11,6
IPL,-0.0487121611802215,12,1
IPL,-0.0030037488701738,13,1
IPL,-0.00591497866122667,13,2
IPL,-0.0233018131768177,13,3
