Condition,Power,Subject,Pair
IPL,-0.00195972790456108,1,1
IPL,-0.0444514923171396,2,1
IPL,0.00852684722157378,3,1
IPL,-0.0265639544127794,4,1
IPL,-0.0325229902978924,4,2
IPL,-0.000173249651380556,5,1
IPL,0.0100741116140081,5,2
IPL,0.00291307564165756,5,3
IPL,0.0438585233111008,6,1
IPL,-0.00657324385026079,6,2
IPL,-0.0145899609186305,7,1
IPL,0.0166404605917984,7,2
IPL,0.0364827961489371,7,3
IPL,0.0142967667314966,7,4
IPL,-0.00293139821324226,8,1
IPL,0.00723525855398072,8,2
IPL,-0.00561993976706076,8,3
IPL,0.0101119628752858,9,1
IPL,-0.0510107047096474,10,1
IPL,-0.0126840849330283,10,2
IPL,-0.065571664193581,10,3
IPL,-0.0181713516943297,11,1
IPL,-0.00814747298848665,11,2
IPL,0.0024815639759873,11,3
IPL,0.0265204560028496,11,4
IPL,0.0252148204900081,11,5
IPL,-0.00561817935798402,11,6
IPL,-0.0487121611802215,12,1
IPL,-0.0030037488701738,13,1
IPL,-0.00591497866122667,13,2
IPL,-0.0233018131768177,13,3
HIPP,-0.00315448370332705,1,1
HIPP,0.0297316445633462,1,2
HIPP,0.00376178096934917,2,1
HIPP,0.0112911739408229,2,2
HIPP,-0.000400911854058004,2,3
HIPP,0.00282219231853639,3,1
HIPP,-0.000234746087006212,4,1
HIPP,-0.0121732393769384,5,1
HIPP,0.00994176761362109,5,2
HIPP,-0.0337482244545775,5,3
HIPP,-0.0236014917212128,5,4
HIPP,0.00188516400366428,5,5
HIPP,-0.0102269211812451,5,6
HIPP,0.0102003774093405,5,7
HIPP,-0.00733277551530167,6,1
HIPP,0.00580138692379462,6,2
HIPP,0.000859239874651054,6,3
HIPP,0.0100301823779648,6,4
HIPP,0.00690883792988271,6,5
HIPP,-0.00325971717481286,7,1
HIPP,-0.0146658543850028,7,2
HIPP,-0.0217722638529157,7,3
HIPP,0.01896795989428,7,4
HIPP,0.00383328475120308,7,5
HIPP,0.0158483019403978,7,6
HIPP,0.00890343665206973,7,7
HIPP,-0.00393998188733388,7,8
HIPP,0.000282024938093433,7,9
HIPP,0.00738674964877934,8,1
HIPP,-0.00251706086285649,8,2
HIPP,0.0222355948695006,8,3
HIPP,0.0146637760337144,8,4
HIPP,0.0146341633924528,9,1
HIPP,0.00458739891475519,10,1
HIPP,0.0127989016094975,10,2
HIPP,-0.00717055803434693,10,3
HIPP,0.00630255425157034,10,4
HIPP,0.000377547504791899,10,5
HIPP,-0.00985775204178984,11,1
HIPP,0.0106813677266419,11,2
HIPP,-0.00970664718220348,11,3
HIPP,0.00605663184823929,11,4
HIPP,-0.00778581555799796,12,1
HIPP,-0.00407564019359008,12,2
HIPP,0.00175191998623111,12,3
HIPP,-0.00118390600702097,13,1
HIPP,0.0138479900486332,13,2
HIPP,-0.0128532974503989,13,3
HIPP,0.00382449579364877,14,1
HIPP,0.00532456117738434,15,1
HIPP,-0.0387112907424416,15,2
HIPP,-0.00392905158755761,15,3
HIPP,-0.00414085562661013,15,4
HIPP,-0.0292777781224604,15,5
HIPP,0.0147248212152357,16,1
HIPP,-0.0343516844942539,17,1
HIPP,-0.00789904245299546,17,2
HIPP,-0.0109203594172078,17,3
HIPP,-0.0109542801998115,17,4
HIPP,-0.00892725951373397,17,5
HIPP,0.0150590204568761,17,6
HIPP,0.0112506179506019,17,7
HIPP,0.0233021580242742,17,8
HIPP,-0.00741246514806295,17,9
HIPP,0.0106773346156168,17,10
HIPP,0.0263212866595374,17,11
HIPP,-0.0202352375409168,18,1
HIPP,-0.0296912119476488,18,2
HIPP,-0.0117455176704638,18,3
HIPP,-0.0101670359117314,18,4
HIPP,-0.011600430252025,18,5
HIPP,0.0073302803090065,19,1
