Condition,Power,Subject,Pair
ITG,0.115624930506236,1,1
ITG,0.042424763963386,1,2
ITG,-0.0696771014781169,2,1
ITG,-0.0621278477737285,2,2
ITG,-0.0340634001936859,3,1
ITG,-0.0159107360310943,4,1
ITG,-0.0301691175433143,4,2
ITG,0.00257946829319761,5,1
ITG,-0.0158563324897187,6,1
ITG,-0.012790065418524,6,2
ITG,-0.0166876003804015,6,3
ITG,-0.00244830478278874,6,4
ITG,-0.0122420888597993,6,5
ITG,0.0106299052190202,6,6
ITG,0.00713405128974421,7,1
ITG,0.0225505775469867,8,1
ITG,-0.0314816927410041,8,2
ITG,-0.0127586938759154,8,3
ITG,-0.0106192292873836,8,4
ITG,-0.0352865965532648,8,5
ITG,-0.00496805972910198,8,6
ITG,-0.0624752172258555,8,7
ITG,-0.0228720305337216,8,8
ITG,0.00708397745189168,8,9
ITG,0.0017842037112267,8,10
ITG,0.0050928192987313,8,11
ITG,0.0481904109935582,8,12
ITG,0.00916197791244818,8,13
ITG,-0.0300257500681532,8,14
ITG,0.0258004383910314,8,15
ITG,0.0398438466882935,8,16
ITG,-0.00221109404840327,9,1
ITG,-0.00339071085336045,9,2
ITG,-0.0208089208633929,9,3
ITG,0.0147098256104715,9,4
ITG,-0.00353302463197086,9,5
ITG,0.00198342003960066,9,6
ITG,0.00729193660597001,9,7
ITG,-0.0197403312453139,10,1
ITG,-0.0271058157969093,10,2
ITG,-0.014144145426802,10,3
ITG,0.0436182793233207,10,4
ITG,0.0184524436908989,10,5
ITG,0.0158708800280193,10,6
ITG,-0.0364279754613647,11,1
ITG,-0.013699882087116,11,2
ITG,-0.0446713543319742,11,3
ITG,-0.0210067263341615,11,4
ITG,-0.0586985657659197,11,5
ITG,-0.0097786651776682,11,6
ITG,-0.0170702151511235,11,7
ITG,-0.0226058799802363,12,1
ITG,-0.0015869218737538,12,2
ITG,0.0352547148629072,12,3
ITG,-0.00282142165864428,13,1
ITG,-0.0141527693717932,13,2
ITG,-0.00642618382976065,13,3
ITG,0.00036496522399902,13,4
ITG,-0.00308956497145959,13,5
ITG,0.00862665075187014,13,6
ITG,0.0152438687316239,13,7
ITG,-0.00950249503169014,14,1
ITG,-0.0136418842303175,14,2
ITG,0.00897184401925849,15,1
ITG,0.0211223106023982,15,2
ITG,-0.0129865316463925,15,3
ITG,-0.00192080986434567,15,4
ITG,-0.00635879361368321,15,5
ITG,-0.00355665121163056,15,6
ITG,-0.00687857304690615,15,7
ITG,0.00468206856880828,15,8
ITG,-0.013039747441268,16,1
ITG,0.0162998314496196,16,2
ITG,-0.0137453729650949,16,3
ITG,0.0226534052242132,16,4
ITG,0.0142401498174743,17,1
ITG,-0.00912147154386877,17,2
ITG,-0.00737568750331546,18,1
ITG,-0.000214127230228901,18,2
ITG,0.00529594739376518,18,3
FG,0.0549177042771897,1,1
FG,-0.012986629032942,1,2
FG,-0.0284708570147598,2,1
FG,-0.0397321945820376,3,1
FG,-0.0093189943064821,3,2
FG,-0.0044097013878066,3,3
FG,0.00977976309297743,4,1
FG,0.018850409638894,4,2
FG,0.00838591676051299,5,1
FG,-0.0223040451800386,5,2
FG,0.0325218669590974,5,3
FG,0.008359095560674,6,1
FG,-0.0018844600632524,6,2
FG,0.0101125474245434,6,3
FG,-0.00156079998875873,6,4
FG,0.00649074879265208,6,5
FG,0.00195415596605451,7,1
FG,0.00307176213465142,7,2
FG,-0.0371986151923982,7,3
FG,-0.0384137375418871,7,4
FG,0.00557016420572599,7,5
FG,-0.01058326030725,7,6
FG,-0.0513875708729134,7,7
FG,0.0548389035260921,7,8
FG,-0.0341886632130212,7,9
FG,0.0226427126291002,7,10
FG,-0.0110590751430295,7,11
FG,0.00803085687795403,8,1
FG,0.00166825363972669,8,2
FG,0.00517258961780971,8,3
FG,-0.00467953373096913,8,4
FG,0.000296210856265188,8,5
FG,-0.00128639059594496,8,6
FG,0.0172424384970975,9,1
FG,-0.0475810076175763,9,2
FG,-0.0108167543645879,9,3
FG,-0.00381639434314512,9,4
FG,0.0141305427394594,9,5
FG,0.0275052682976818,9,6
FG,0.0286442527711,9,7
FG,-0.0245051615989767,10,1
FG,-0.0200126262094529,10,2
FG,0.0266349943489332,10,3
FG,0.00285396981718565,10,4
FG,0.0566945552784884,11,1
FG,-0.0138735309895673,12,1
FG,0.00516971705608783,12,2
FG,-0.00440673907848472,12,3
FG,-0.00767488951538489,12,4
FG,-0.00192602990603803,13,1
FG,0.00496645411496617,13,2
FG,0.00557154164668662,13,3
FG,0.00149414926814021,13,4
FG,0.0113813247173369,13,5
FG,-0.0127898184895721,14,1
FG,-0.0161456752931835,15,1
