Condition,Power,Subject,Pair
ITG,0.115624930506236,1,1
ITG,0.042424763963386,1,2
ITG,-0.0696771014781169,2,1
ITG,-0.0621278477737285,2,2
ITG,-0.0340634001936859,3,1
ITG,-0.0159107360310943,4,1
ITG,-0.0301691175433143,4,2
ITG,0.00257946829319761,5,1
ITG,-0.0158563324897187,6,1
ITG,-0.012790065418524,6,2
ITG,-0.0166876003804015,6,3
ITG,-0.00244830478278874,6,4
ITG,-0.0122420888597993,6,5
ITG,0.0106299052190202,6,6
ITG,0.00713405128974421,7,1
ITG,0.0225505775469867,8,1
ITG,-0.0314816927410041,8,2
ITG,-0.0127586938759154,8,3
ITG,-0.0106192292873836,8,4
ITG,-0.0352865965532648,8,5
ITG,-0.00496805972910198,8,6
ITG,-0.0624752172258555,8,7
ITG,-0.0228720305337216,8,8
ITG,0.00708397745189168,8,9
ITG,0.0017842037112267,8,10
ITG,0.0050928192987313,8,11
ITG,0.0481904109935582,8,12
ITG,0.00916197791244818,8,13
ITG,-0.0300257500681532,8,14
ITG,0.0258004383910314,8,15
ITG,0.0398438466882935,8,16
ITG,-0.00221109404840327,9,1
ITG,-0.00339071085336045,9,2
ITG,-0.0208089208633929,9,3
ITG,0.0147098256104715,9,4
ITG,-0.00353302463197086,9,5
ITG,0.00198342003960066,9,6
ITG,0.00729193660597001,9,7
ITG,-0.0197403312453139,10,1
ITG,-0.0271058157969093,10,2
ITG,-0.014144145426802,10,3
ITG,0.0436182793233207,10,4
ITG,0.0184524436908989,10,5
ITG,0.0158708800280193,10,6
ITG,-0.0364279754613647,11,1
ITG,-0.013699882087116,11,2
ITG,-0.0446713543319742,11,3
ITG,-0.0210067263341615,11,4
ITG,-0.0586985657659197,11,5
ITG,-0.0097786651776682,11,6
ITG,-0.0170702151511235,11,7
ITG,-0.0226058799802363,12,1
ITG,-0.0015869218737538,12,2
ITG,0.0352547148629072,12,3
ITG,-0.00282142165864428,13,1
ITG,-0.0141527693717932,13,2
ITG,-0.00642618382976065,13,3
ITG,0.00036496522399902,13,4
ITG,-0.00308956497145959,13,5
ITG,0.00862665075187014,13,6
ITG,0.0152438687316239,13,7
ITG,-0.00950249503169014,14,1
ITG,-0.0136418842303175,14,2
ITG,0.00897184401925849,15,1
ITG,0.0211223106023982,15,2
ITG,-0.0129865316463925,15,3
ITG,-0.00192080986434567,15,4
ITG,-0.00635879361368321,15,5
ITG,-0.00355665121163056,15,6
ITG,-0.00687857304690615,15,7
ITG,0.00468206856880828,15,8
ITG,-0.013039747441268,16,1
ITG,0.0162998314496196,16,2
ITG,-0.0137453729650949,16,3
ITG,0.0226534052242132,16,4
ITG,0.0142401498174743,17,1
ITG,-0.00912147154386877,17,2
ITG,-0.00737568750331546,18,1
ITG,-0.000214127230228901,18,2
ITG,0.00529594739376518,18,3
IPL,-0.00195972790456108,1,1
IPL,-0.0444514923171396,2,1
IPL,0.00852684722157378,3,1
IPL,-0.0265639544127794,4,1
IPL,-0.0325229902978924,4,2
IPL,-0.000173249651380556,5,1
IPL,0.0100741116140081,5,2
IPL,0.00291307564165756,5,3
IPL,0.0438585233111008,6,1
IPL,-0.00657324385026079,6,2
IPL,-0.0145899609186305,7,1
IPL,0.0166404605917984,7,2
IPL,0.0364827961489371,7,3
IPL,0.0142967667314966,7,4
IPL,-0.00293139821324226,8,1
IPL,0.00723525855398072,8,2
IPL,-0.00561993976706076,8,3
IPL,0.0101119628752858,9,1
IPL,-0.0510107047096474,10,1
IPL,-0.0126840849330283,10,2
IPL,-0.065571664193581,10,3
IPL,-0.0181713516943297,11,1
IPL,-0.00814747298848665,11,2
IPL,0.0024815639759873,11,3
IPL,0.0265204560028496,11,4
IPL,0.0252148204900081,11,5
IPL,-0.00561817935798402,11,6
IPL,-0.0487121611802215,12,1
IPL,-0.0030037488701738,13,1
IPL,-0.00591497866122667,13,2
IPL,-0.0233018131768177,13,3
