Condition,Power,Subject,Pair
ITG,0.115624930506236,1,1
ITG,0.042424763963386,1,2
ITG,-0.0696771014781169,2,1
ITG,-0.0621278477737285,2,2
ITG,-0.0340634001936859,3,1
ITG,-0.0159107360310943,4,1
ITG,-0.0301691175433143,4,2
ITG,0.00257946829319761,5,1
ITG,-0.0158563324897187,6,1
ITG,-0.012790065418524,6,2
ITG,-0.0166876003804015,6,3
ITG,-0.00244830478278874,6,4
ITG,-0.0122420888597993,6,5
ITG,0.0106299052190202,6,6
ITG,0.00713405128974421,7,1
ITG,0.0225505775469867,8,1
ITG,-0.0314816927410041,8,2
ITG,-0.0127586938759154,8,3
ITG,-0.0106192292873836,8,4
ITG,-0.0352865965532648,8,5
ITG,-0.00496805972910198,8,6
ITG,-0.0624752172258555,8,7
ITG,-0.0228720305337216,8,8
ITG,0.00708397745189168,8,9
ITG,0.0017842037112267,8,10
ITG,0.0050928192987313,8,11
ITG,0.0481904109935582,8,12
ITG,0.00916197791244818,8,13
ITG,-0.0300257500681532,8,14
ITG,0.0258004383910314,8,15
ITG,0.0398438466882935,8,16
ITG,-0.00221109404840327,9,1
ITG,-0.00339071085336045,9,2
ITG,-0.0208089208633929,9,3
ITG,0.0147098256104715,9,4
ITG,-0.00353302463197086,9,5
ITG,0.00198342003960066,9,6
ITG,0.00729193660597001,9,7
ITG,-0.0197403312453139,10,1
ITG,-0.0271058157969093,10,2
ITG,-0.014144145426802,10,3
ITG,0.0436182793233207,10,4
ITG,0.0184524436908989,10,5
ITG,0.0158708800280193,10,6
ITG,-0.0364279754613647,11,1
ITG,-0.013699882087116,11,2
ITG,-0.0446713543319742,11,3
ITG,-0.0210067263341615,11,4
ITG,-0.0586985657659197,11,5
ITG,-0.0097786651776682,11,6
ITG,-0.0170702151511235,11,7
ITG,-0.0226058799802363,12,1
ITG,-0.0015869218737538,12,2
ITG,0.0352547148629072,12,3
ITG,-0.00282142165864428,13,1
ITG,-0.0141527693717932,13,2
ITG,-0.00642618382976065,13,3
ITG,0.00036496522399902,13,4
ITG,-0.00308956497145959,13,5
ITG,0.00862665075187014,13,6
ITG,0.0152438687316239,13,7
ITG,-0.00950249503169014,14,1
ITG,-0.0136418842303175,14,2
ITG,0.00897184401925849,15,1
ITG,0.0211223106023982,15,2
ITG,-0.0129865316463925,15,3
ITG,-0.00192080986434567,15,4
ITG,-0.00635879361368321,15,5
ITG,-0.00355665121163056,15,6
ITG,-0.00687857304690615,15,7
ITG,0.00468206856880828,15,8
ITG,-0.013039747441268,16,1
ITG,0.0162998314496196,16,2
ITG,-0.0137453729650949,16,3
ITG,0.0226534052242132,16,4
ITG,0.0142401498174743,17,1
ITG,-0.00912147154386877,17,2
ITG,-0.00737568750331546,18,1
ITG,-0.000214127230228901,18,2
ITG,0.00529594739376518,18,3
IPS,-0.00277309618057349,1,1
IPS,0.0291592445217702,1,2
IPS,-0.0184267757924145,1,3
IPS,-0.00229956127522691,1,4
IPS,-0.0121653987856608,2,1
IPS,0.158619686277941,2,2
IPS,-0.072251649752621,2,3
IPS,0.00346782686087641,2,4
IPS,-0.140991111048736,2,5
IPS,0.0822348420708516,2,6
IPS,0.0499097043745635,2,7
IPS,-0.00388454315471205,2,8
IPS,0.154321498649066,2,9
IPS,-0.110944993927034,2,10
IPS,-0.0601207006852675,2,11
IPS,0.020175948958656,2,12
IPS,0.0954888295072746,2,13
IPS,0.125579633990811,2,14
IPS,-0.092854252601956,2,15
IPS,-0.0640227855967827,2,16
IPS,0.0145697123092034,3,1
IPS,0.0491222212983723,3,2
IPS,0.0327928171254829,3,3
IPS,0.00999424031015401,3,4
IPS,0.0153257885649009,3,5
IPS,0.0102165052457184,3,6
IPS,0.0103967975134208,3,7
IPS,-0.0358374613641775,4,1
IPS,0.0180084179573064,4,2
IPS,0.0463455785011832,4,3
IPS,-0.0162683529696293,4,4
IPS,-0.00899409935140486,5,1
IPS,-0.0165831884959297,6,1
IPS,0.0511855250249731,6,2
IPS,-0.016277874795866,6,3
IPS,0.0188454967046034,7,1
IPS,0.00340212922039619,7,2
IPS,0.00122690751688583,7,3
IPS,-0.00918183537469449,7,4
IPS,-0.0267832685055588,7,5
IPS,-0.0216068741454758,7,6
