Condition,Power,Subject,Pair
FG,0.0138878701900417,1,1
FG,-0.0121721749458471,1,2
FG,-0.001204532101515,2,1
FG,0.0321504922650635,3,1
FG,0.01062327452607,3,2
FG,0.00801575850032645,3,3
FG,0.0146106043450315,4,1
FG,0.0020198374763314,4,2
FG,0.0123078329585001,5,1
FG,0.0293992906690106,5,2
FG,-0.0398112939464481,5,3
FG,-0.00424804089930037,6,1
FG,0.0137392188371772,6,2
FG,0.00604761921222474,6,3
FG,-0.041537693939173,6,4
FG,-0.0045109289857217,6,5
FG,-0.00456159277630924,7,1
FG,-0.00297452114335816,7,2
FG,-0.0334614964410376,7,3
FG,-0.0321213909906451,7,4
FG,-0.0256075839608401,7,5
FG,-0.0413480479639862,7,6
FG,-0.0226240751117974,7,7
FG,-0.05102966373023,7,8
FG,-0.0122269786047585,7,9
FG,0.000879946861510592,7,10
FG,-0.0064989122324082,7,11
FG,-0.00952607722965702,8,1
FG,0.0199429977209737,8,2
FG,0.00400307834734577,8,3
FG,-0.00127659843108876,8,4
FG,0.0159240527101247,8,5
FG,0.0138154638610986,8,6
FG,-0.00533197178098427,9,1
FG,0.0364838203252992,9,2
FG,0.0634118671102898,9,3
FG,0.0579773421127378,9,4
FG,0.0341748275084199,9,5
FG,0.0507171985341634,9,6
FG,-0.0222815996911905,9,7
FG,-0.0108439338746737,10,1
FG,-0.0390970932462059,10,2
FG,0.00349767258051233,10,3
FG,-0.00456650077070307,10,4
FG,0.0446853356973016,11,1
FG,0.000229896589257696,12,1
FG,-0.00759548488080903,12,2
FG,-0.00403580605964728,12,3
FG,0.0158492747622612,12,4
FG,-0.0210707408273553,13,1
FG,0.00044951735543041,13,2
FG,-0.0205755791716285,13,3
FG,0.0046147677210887,13,4
FG,0.0265921984493244,13,5
FG,-0.00874380555145418,14,1
FG,-0.0248889232559668,15,1
HIPP,-0.0130329046846591,1,1
HIPP,-0.0411427043767714,1,2
HIPP,-0.0285708318438746,2,1
HIPP,0.0209905992177111,2,2
HIPP,0.0366971976625527,2,3
HIPP,0.0122128525881497,3,1
HIPP,0.0214670764543752,4,1
HIPP,-0.0231633274640683,5,1
HIPP,-0.00164511290726344,5,2
HIPP,0.00660109651123157,5,3
HIPP,-0.0177777190496831,5,4
HIPP,0.00923012200127557,5,5
HIPP,-0.0265189740086653,5,6
HIPP,0.0246029815916824,5,7
HIPP,-0.00706324070331563,6,1
HIPP,0.00243110035755898,6,2
HIPP,0.0311997371626044,6,3
HIPP,-0.00892305318796534,6,4
HIPP,-0.0169471248959302,6,5
HIPP,0.0419945882497982,7,1
HIPP,0.000657405023104288,7,2
HIPP,0.0303841683690119,7,3
HIPP,0.0142588188449745,7,4
HIPP,0.00333998612309714,7,5
HIPP,-0.011067451083183,7,6
HIPP,0.00059295349240329,7,7
HIPP,0.0295954136182228,7,8
HIPP,0.0175033976704979,7,9
HIPP,0.0363961737411356,8,1
HIPP,0.00132240283288205,8,2
HIPP,-0.0150296780207016,8,3
HIPP,0.0132153794112316,8,4
HIPP,-0.0384265045657895,9,1
HIPP,-0.0077305533389825,10,1
HIPP,0.00513463406262079,10,2
HIPP,0.0362642680730876,10,3
HIPP,-0.011394495303836,10,4
HIPP,-0.00182884749607573,10,5
HIPP,-0.00345840199640281,11,1
HIPP,-0.00692228029275869,11,2
HIPP,0.0172000507968735,11,3
HIPP,0.0329784310454254,11,4
HIPP,-0.0358113727354302,12,1
HIPP,0.00712785779906294,12,2
HIPP,0.0583515951146869,12,3
HIPP,-0.0216510248333616,13,1
HIPP,0.0321160376591585,13,2
HIPP,0.0147023473764524,13,3
HIPP,-0.0207329836194354,14,1
HIPP,-0.00216583578885662,15,1
HIPP,0.0171618786187706,15,2
HIPP,0.00524278204459122,15,3
HIPP,0.00715556345509203,15,4
HIPP,-0.00774179737606105,15,5
HIPP,-0.0228209494639466,16,1
HIPP,-0.0108557286077713,17,1
HIPP,0.0113267081415427,17,2
HIPP,-0.0187853858484082,17,3
HIPP,-0.0232744664237328,17,4
HIPP,-0.00103824068165817,17,5
HIPP,0.0122367335769104,17,6
HIPP,-0.0037409838720142,17,7
HIPP,-0.00554170408946024,17,8
HIPP,0.00835769863176113,17,9
HIPP,0.0152172916649631,17,10
HIPP,0.00550592709902346,17,11
HIPP,-0.00550751757267228,18,1
HIPP,0.0314204521881026,18,2
HIPP,0.0202140668472136,18,3
HIPP,0.0166678975906703,18,4
HIPP,0.00849322637015996,18,5
HIPP,0.00290337761297157,19,1
