Condition,Power,Subject,Pair
FG,0.0138878701900417,1,1
FG,-0.0121721749458471,1,2
FG,-0.001204532101515,2,1
FG,0.0321504922650635,3,1
FG,0.01062327452607,3,2
FG,0.00801575850032645,3,3
FG,0.0146106043450315,4,1
FG,0.0020198374763314,4,2
FG,0.0123078329585001,5,1
FG,0.0293992906690106,5,2
FG,-0.0398112939464481,5,3
FG,-0.00424804089930037,6,1
FG,0.0137392188371772,6,2
FG,0.00604761921222474,6,3
FG,-0.041537693939173,6,4
FG,-0.0045109289857217,6,5
FG,-0.00456159277630924,7,1
FG,-0.00297452114335816,7,2
FG,-0.0334614964410376,7,3
FG,-0.0321213909906451,7,4
FG,-0.0256075839608401,7,5
FG,-0.0413480479639862,7,6
FG,-0.0226240751117974,7,7
FG,-0.05102966373023,7,8
FG,-0.0122269786047585,7,9
FG,0.000879946861510592,7,10
FG,-0.0064989122324082,7,11
FG,-0.00952607722965702,8,1
FG,0.0199429977209737,8,2
FG,0.00400307834734577,8,3
FG,-0.00127659843108876,8,4
FG,0.0159240527101247,8,5
FG,0.0138154638610986,8,6
FG,-0.00533197178098427,9,1
FG,0.0364838203252992,9,2
FG,0.0634118671102898,9,3
FG,0.0579773421127378,9,4
FG,0.0341748275084199,9,5
FG,0.0507171985341634,9,6
FG,-0.0222815996911905,9,7
FG,-0.0108439338746737,10,1
FG,-0.0390970932462059,10,2
FG,0.00349767258051233,10,3
FG,-0.00456650077070307,10,4
FG,0.0446853356973016,11,1
FG,0.000229896589257696,12,1
FG,-0.00759548488080903,12,2
FG,-0.00403580605964728,12,3
FG,0.0158492747622612,12,4
FG,-0.0210707408273553,13,1
FG,0.00044951735543041,13,2
FG,-0.0205755791716285,13,3
FG,0.0046147677210887,13,4
FG,0.0265921984493244,13,5
FG,-0.00874380555145418,14,1
FG,-0.0248889232559668,15,1
IPL,-0.00740695052580997,1,1
IPL,-0.0315044709220637,2,1
IPL,-0.0325322173764344,3,1
IPL,0.00395887975942884,4,1
IPL,0.0451517541350314,4,2
IPL,0.0212601211969666,4,3
IPL,-0.0147111591863888,5,1
IPL,-0.029595807196641,5,2
IPL,0.00539359743202085,6,1
IPL,-0.00232115059279105,6,2
IPL,-0.00850719122857455,6,3
IPL,0.0268090475570716,7,1
IPL,-0.00379645094185266,7,2
IPL,0.00945669960287065,8,1
IPL,0.00390744568144718,8,2
IPL,-0.0104899117991326,8,3
IPL,-0.0221894927224228,8,4
IPL,-0.0172957832887876,9,1
IPL,-0.0136333494507809,9,2
IPL,0.00404632637840985,9,3
IPL,-0.0090334937443076,10,1
IPL,-0.0999361133139907,11,1
IPL,-0.00429341314759249,11,2
IPL,-0.0033100669038241,11,3
IPL,-0.0110060238677289,12,1
IPL,0.00978063159684063,12,2
IPL,0.00514758843539103,12,3
IPL,0.00353026588872999,12,4
IPL,-0.0134903294325591,12,5
IPL,-0.0190146375096617,12,6
IPL,-0.0428219832892464,13,1
IPL,-0.0151703161979886,14,1
IPL,0.00495502358839658,14,2
IPL,-0.00052966030195048,14,3
