Condition,Power,Subject,Pair
FG,0.052256869312964,1,1
FG,0.0390996487028934,1,2
FG,-0.0210572560125291,2,1
FG,-0.00734125216280276,3,1
FG,0.0136055852688023,3,2
FG,0.0166688081545785,3,3
FG,0.0149429774309119,4,1
FG,0.0214817975016524,4,2
FG,0.0176037654920579,5,1
FG,-0.0126529735027263,5,2
FG,0.0165040677596017,5,3
FG,0.00275022233883937,6,1
FG,0.0197137462169442,6,2
FG,0.0077838177555527,6,3
FG,0.00599717466984765,6,4
FG,0.0519035344468111,6,5
FG,-0.0294437788330911,7,1
FG,-0.026363505511236,7,2
FG,-0.0189663631216468,7,3
FG,-0.0548205679817298,7,4
FG,-0.0477570846778276,7,5
FG,-0.0565268639657839,7,6
FG,-0.0240683178170376,7,7
FG,-0.0305226053034297,7,8
FG,0.0158736534387388,7,9
FG,-0.00319314629395935,7,10
FG,-0.0036042245523572,7,11
FG,-0.00659155148598841,8,1
FG,-0.0159279539749603,8,2
FG,-0.0238452238238858,8,3
FG,-0.0478359254583448,8,4
FG,-0.0542144174955018,8,5
FG,0.00350479381199004,8,6
FG,0.0230592221899682,9,1
FG,0.00787905481945686,9,2
FG,0.00561616884921411,9,3
FG,-0.0449035814250546,9,4
FG,0.0928620391674139,9,5
FG,0.0890704842623635,9,6
FG,-0.0580745464526578,9,7
FG,-0.0324787839635849,10,1
FG,-0.0697512712352491,10,2
FG,-0.0768405501149509,10,3
FG,0.00748648645524319,10,4
FG,0.0554747111824967,11,1
FG,-0.0361171235140733,12,1
FG,-0.024311760668684,12,2
FG,0.0337158813350341,12,3
FG,0.0151014253117631,12,4
FG,0.0229395020623687,13,1
FG,-0.0153448164328834,13,2
FG,-0.0300653845197547,13,3
FG,-0.00441254749581509,13,4
FG,0.00863496464257118,13,5
FG,0.0107480206844879,14,1
FG,-0.0686498074256803,15,1
HIPP,0.0121842818468888,1,1
HIPP,0.0160008107016529,1,2
HIPP,0.00939763152952563,2,1
HIPP,0.0297340327958265,2,2
HIPP,0.0447135642248573,2,3
HIPP,0.0125765999923676,3,1
HIPP,0.0366225859572552,4,1
HIPP,0.0319482837136347,5,1
HIPP,-0.00899841330801296,5,2
HIPP,0.0278728534219387,5,3
HIPP,-0.0488354491751134,5,4
HIPP,0.00455899646736394,5,5
HIPP,-0.00708595694764334,5,6
HIPP,-0.0214493925840482,5,7
HIPP,0.0105947317926298,6,1
HIPP,-0.00739864548330743,6,2
HIPP,-0.0236653109810707,6,3
HIPP,-0.0211914931852775,6,4
HIPP,-0.00393375154894101,6,5
HIPP,0.0708972722829509,7,1
HIPP,0.0269785636246315,7,2
HIPP,0.0455297227927405,7,3
HIPP,0.00492418592057534,7,4
HIPP,5.22544703368175e-05,7,5
HIPP,-0.0141257348072845,7,6
HIPP,0.0110852782326666,7,7
HIPP,0.0279570706911796,7,8
HIPP,-0.00960139815933364,7,9
HIPP,-0.0201057977616027,8,1
HIPP,0.0212942504584126,8,2
HIPP,-0.0056732172867213,8,3
HIPP,-0.00609893002440158,8,4
HIPP,0.0997627770253101,9,1
HIPP,-0.0350422522869434,10,1
HIPP,-0.00157825040831986,10,2
HIPP,-0.0157393993426533,10,3
HIPP,0.0407444120967102,10,4
HIPP,0.050087821234544,10,5
HIPP,0.0125980913774755,11,1
HIPP,0.0512622905555989,11,2
HIPP,0.0184391731516463,11,3
HIPP,0.0242310353521033,11,4
HIPP,-0.00290243430067414,12,1
HIPP,0.0247443092576067,12,2
HIPP,-0.0368079361317771,12,3
HIPP,0.0254959488987481,13,1
HIPP,0.0337138128008007,13,2
HIPP,0.0228210118521631,13,3
HIPP,0.00455489190720941,14,1
HIPP,0.00787419961574933,15,1
HIPP,-0.0245311209594348,15,2
HIPP,-0.0237500096647323,15,3
HIPP,-0.0301723030109586,15,4
HIPP,-0.0163384055047273,15,5
HIPP,0.0158605605919675,16,1
HIPP,-0.0162913743185482,17,1
HIPP,0.00145143364600713,17,2
HIPP,0.00107189331910115,17,3
HIPP,0.0103502044127148,17,4
HIPP,-0.00284742307506821,17,5
HIPP,0.0211553164420397,17,6
HIPP,0.00428795578439068,17,7
HIPP,0.000299422619762679,17,8
HIPP,-0.00417669385275544,17,9
HIPP,-0.00567519230563574,17,10
HIPP,0.0269151638352473,17,11
HIPP,-0.0308212068570024,18,1
HIPP,-0.0363399608299547,18,2
HIPP,-0.016094065109489,18,3
HIPP,-0.0108268779885941,18,4
HIPP,-0.0368696776573338,18,5
HIPP,0.0120009551160654,19,1
