Condition,Power,Subject,Pair
ITG,0.0163456582930898,1,1
ITG,0.0110481596292489,1,2
ITG,-0.0958839285894885,2,1
ITG,-0.0896248388743678,2,2
ITG,-0.00133801740638271,3,1
ITG,0.00108766424076778,4,1
ITG,0.0215311461799615,4,2
ITG,0.0221319847158026,5,1
ITG,-0.0176182052525221,6,1
ITG,0.0095092442887927,6,2
ITG,-0.0171643046265294,6,3
ITG,-0.0196922320709283,6,4
ITG,0.00622159875574656,6,5
ITG,-0.00959803432721083,6,6
ITG,-0.00871811805698623,7,1
ITG,-0.00964198133604384,8,1
ITG,-0.000232704449710422,8,2
ITG,-0.00137084722821286,8,3
ITG,0.0135399900583146,8,4
ITG,0.00314203498422619,8,5
ITG,0.0144019397883911,8,6
ITG,0.0365768873326633,8,7
ITG,0.0616626608490113,8,8
ITG,0.00497979823335052,8,9
ITG,0.01092593771499,8,10
ITG,0.0110817198411296,8,11
ITG,-0.00141737610122238,8,12
ITG,0.0310249269620631,8,13
ITG,-0.0063124157697429,8,14
ITG,0.0206320932909662,8,15
ITG,-0.0133771783836078,8,16
ITG,-0.0544482289317477,9,1
ITG,-0.0266954890286409,9,2
ITG,-0.0402052236375895,9,3
ITG,-0.1552506741849,9,4
ITG,-0.0459247880497595,9,5
ITG,0.000811783460176761,9,6
ITG,0.0115674163658866,9,7
ITG,-0.0382834768299292,10,1
ITG,0.0554614705367172,10,2
ITG,0.0723952183814748,10,3
ITG,-0.0219556317599694,10,4
ITG,-0.00709882706131233,10,5
ITG,-0.0394275716332484,10,6
ITG,-0.110005800312801,11,1
ITG,-0.124045812741868,11,2
ITG,-0.131494729199778,11,3
ITG,-0.0886528079776927,11,4
ITG,-0.146971672396199,11,5
ITG,-0.158142535385965,11,6
ITG,-0.129945152326169,11,7
ITG,0.0215907645076065,12,1
ITG,-0.0109507540227873,12,2
ITG,-0.0764352225684401,12,3
ITG,-0.0304113072228023,13,1
ITG,-0.00659498922569032,13,2
ITG,-0.0114641332876715,13,3
ITG,0.0895804534292482,13,4
ITG,-0.0228689892974335,13,5
ITG,0.00472798921185457,13,6
ITG,0.0345057340760288,13,7
ITG,0.000174750637139092,14,1
ITG,0.00114963399532856,14,2
ITG,0.0175436624146205,15,1
ITG,-0.002427576961384,15,2
ITG,-0.0454358071761657,15,3
ITG,0.00137128195999567,15,4
ITG,-0.0523023990051747,15,5
ITG,-0.014043811074411,15,6
ITG,-0.0280418795193923,15,7
ITG,0.00178003301295002,15,8
ITG,0.00759175472502172,16,1
ITG,0.0277647967894286,16,2
ITG,0.0215198676377781,16,3
ITG,0.01853058996519,16,4
ITG,-0.0125154674655797,17,1
ITG,0.0408695710528082,17,2
ITG,-0.00114036273770914,18,1
ITG,-0.000833044815847537,18,2
ITG,0.00643063057408932,18,3
FG,0.052256869312964,1,1
FG,0.0390996487028934,1,2
FG,-0.0210572560125291,2,1
FG,-0.00734125216280276,3,1
FG,0.0136055852688023,3,2
FG,0.0166688081545785,3,3
FG,0.0149429774309119,4,1
FG,0.0214817975016524,4,2
FG,0.0176037654920579,5,1
FG,-0.0126529735027263,5,2
FG,0.0165040677596017,5,3
FG,0.00275022233883937,6,1
FG,0.0197137462169442,6,2
FG,0.0077838177555527,6,3
FG,0.00599717466984765,6,4
FG,0.0519035344468111,6,5
FG,-0.0294437788330911,7,1
FG,-0.026363505511236,7,2
FG,-0.0189663631216468,7,3
FG,-0.0548205679817298,7,4
FG,-0.0477570846778276,7,5
FG,-0.0565268639657839,7,6
FG,-0.0240683178170376,7,7
FG,-0.0305226053034297,7,8
FG,0.0158736534387388,7,9
FG,-0.00319314629395935,7,10
FG,-0.0036042245523572,7,11
FG,-0.00659155148598841,8,1
FG,-0.0159279539749603,8,2
FG,-0.0238452238238858,8,3
FG,-0.0478359254583448,8,4
FG,-0.0542144174955018,8,5
FG,0.00350479381199004,8,6
FG,0.0230592221899682,9,1
FG,0.00787905481945686,9,2
FG,0.00561616884921411,9,3
FG,-0.0449035814250546,9,4
FG,0.0928620391674139,9,5
FG,0.0890704842623635,9,6
FG,-0.0580745464526578,9,7
FG,-0.0324787839635849,10,1
FG,-0.0697512712352491,10,2
FG,-0.0768405501149509,10,3
FG,0.00748648645524319,10,4
FG,0.0554747111824967,11,1
FG,-0.0361171235140733,12,1
FG,-0.024311760668684,12,2
FG,0.0337158813350341,12,3
FG,0.0151014253117631,12,4
FG,0.0229395020623687,13,1
FG,-0.0153448164328834,13,2
FG,-0.0300653845197547,13,3
FG,-0.00441254749581509,13,4
FG,0.00863496464257118,13,5
FG,0.0107480206844879,14,1
FG,-0.0686498074256803,15,1
