Condition,Power,Subject,Pair
ITG,0.0163456582930898,1,1
ITG,0.0110481596292489,1,2
ITG,-0.0958839285894885,2,1
ITG,-0.0896248388743678,2,2
ITG,-0.00133801740638271,3,1
ITG,0.00108766424076778,4,1
ITG,0.0215311461799615,4,2
ITG,0.0221319847158026,5,1
ITG,-0.0176182052525221,6,1
ITG,0.0095092442887927,6,2
ITG,-0.0171643046265294,6,3
ITG,-0.0196922320709283,6,4
ITG,0.00622159875574656,6,5
ITG,-0.00959803432721083,6,6
ITG,-0.00871811805698623,7,1
ITG,-0.00964198133604384,8,1
ITG,-0.000232704449710422,8,2
ITG,-0.00137084722821286,8,3
ITG,0.0135399900583146,8,4
ITG,0.00314203498422619,8,5
ITG,0.0144019397883911,8,6
ITG,0.0365768873326633,8,7
ITG,0.0616626608490113,8,8
ITG,0.00497979823335052,8,9
ITG,0.01092593771499,8,10
ITG,0.0110817198411296,8,11
ITG,-0.00141737610122238,8,12
ITG,0.0310249269620631,8,13
ITG,-0.0063124157697429,8,14
ITG,0.0206320932909662,8,15
ITG,-0.0133771783836078,8,16
ITG,-0.0544482289317477,9,1
ITG,-0.0266954890286409,9,2
ITG,-0.0402052236375895,9,3
ITG,-0.1552506741849,9,4
ITG,-0.0459247880497595,9,5
ITG,0.000811783460176761,9,6
ITG,0.0115674163658866,9,7
ITG,-0.0382834768299292,10,1
ITG,0.0554614705367172,10,2
ITG,0.0723952183814748,10,3
ITG,-0.0219556317599694,10,4
ITG,-0.00709882706131233,10,5
ITG,-0.0394275716332484,10,6
ITG,-0.110005800312801,11,1
ITG,-0.124045812741868,11,2
ITG,-0.131494729199778,11,3
ITG,-0.0886528079776927,11,4
ITG,-0.146971672396199,11,5
ITG,-0.158142535385965,11,6
ITG,-0.129945152326169,11,7
ITG,0.0215907645076065,12,1
ITG,-0.0109507540227873,12,2
ITG,-0.0764352225684401,12,3
ITG,-0.0304113072228023,13,1
ITG,-0.00659498922569032,13,2
ITG,-0.0114641332876715,13,3
ITG,0.0895804534292482,13,4
ITG,-0.0228689892974335,13,5
ITG,0.00472798921185457,13,6
ITG,0.0345057340760288,13,7
ITG,0.000174750637139092,14,1
ITG,0.00114963399532856,14,2
ITG,0.0175436624146205,15,1
ITG,-0.002427576961384,15,2
ITG,-0.0454358071761657,15,3
ITG,0.00137128195999567,15,4
ITG,-0.0523023990051747,15,5
ITG,-0.014043811074411,15,6
ITG,-0.0280418795193923,15,7
ITG,0.00178003301295002,15,8
ITG,0.00759175472502172,16,1
ITG,0.0277647967894286,16,2
ITG,0.0215198676377781,16,3
ITG,0.01853058996519,16,4
ITG,-0.0125154674655797,17,1
ITG,0.0408695710528082,17,2
ITG,-0.00114036273770914,18,1
ITG,-0.000833044815847537,18,2
ITG,0.00643063057408932,18,3
IPL,-0.0303120750655303,1,1
IPL,0.010820205869219,2,1
IPL,0.0292408553150425,3,1
IPL,0.0058075832424074,4,1
IPL,0.0464606174464367,4,2
IPL,-0.0501324306036839,4,3
IPL,-0.0154460831587214,5,1
IPL,-0.0189821427574401,5,2
IPL,0.0498811101572296,6,1
IPL,0.034876650024434,6,2
IPL,0.00135959477349929,6,3
IPL,0.0375993888273632,7,1
IPL,-0.0664763987450054,7,2
IPL,-0.0765415437332159,8,1
IPL,0.0117474891008759,8,2
IPL,-0.00326347873680315,8,3
IPL,0.00387428802908367,8,4
IPL,0.0362234062951683,9,1
IPL,0.0520229045005205,9,2
IPL,3.52312581819777e-05,9,3
IPL,0.013477824763095,10,1
IPL,0.0036116189909505,11,1
IPL,0.034972799483542,11,2
IPL,0.0291411509247903,11,3
IPL,0.0114805358107518,12,1
IPL,-0.00110241141688492,12,2
IPL,-0.000222048359666491,12,3
IPL,-0.0409600508699428,12,4
IPL,-0.00187188485117136,12,5
IPL,-0.0129661527300564,12,6
IPL,-0.0644730948581321,13,1
IPL,0.012325534333811,14,1
IPL,-0.0107387989889419,14,2
IPL,0.00062727119025616,14,3
